TOTIM (T)      HCON          HMAT      QDIR      QWELL        QMAT       QCADS      QTUB1      QTUB2      QTUB3      QTUB4      QTUB5      QTUB6       NSTOR        QFIX        QLH     FHLQ (LQ)        CAUCHY   CAUCHY (LQ)
       10.   20.00000000   20.0000   0.000       0.000       0.000       0.000    -0.1531E-01  0.000      0.000      0.000      0.000      0.000       0.000      0.1531E-01   0.000       0.000       0.000       0.000    
       20.   20.00000000   20.0000   0.000       0.000       0.000       0.000    -0.1531E-01  0.000      0.000      0.000      0.000      0.000       0.000      0.1531E-01   0.000       0.000       0.000       0.000    
       30.   20.00000000   20.0000   0.000       0.000       0.000       0.000    -0.1531E-01  0.000      0.000      0.000      0.000      0.000       0.000      0.1531E-01   0.000       0.000       0.000       0.000    
       40.   20.00000000   20.0000   0.000       0.000       0.000       0.000    -0.1531E-01  0.000      0.000      0.000      0.000      0.000       0.000      0.1531E-01   0.000       0.000       0.000       0.000    
       50.   20.00000000   20.0000   0.000       0.000       0.000       0.000    -0.1531E-01  0.000      0.000      0.000      0.000      0.000       0.000      0.1531E-01   0.000       0.000       0.000       0.000    
       60.   20.00000000   20.0000   0.000       0.000       0.000       0.000    -0.1531E-01  0.000      0.000      0.000      0.000      0.000       0.000      0.1531E-01   0.000       0.000       0.000       0.000    
       70.   20.00000000   20.0000   0.000       0.000       0.000       0.000    -0.1531E-01  0.000      0.000      0.000      0.000      0.000       0.000      0.1531E-01   0.000       0.000       0.000       0.000    
       80.   20.00000000   20.0000   0.000       0.000       0.000       0.000    -0.1531E-01  0.000      0.000      0.000      0.000      0.000       0.000      0.1531E-01   0.000       0.000       0.000       0.000    
       90.   20.00000000   20.0000   0.000       0.000       0.000       0.000    -0.1531E-01  0.000      0.000      0.000      0.000      0.000       0.000      0.1531E-01   0.000       0.000       0.000       0.000    
      100.   20.00000000   20.0000   0.000       0.000       0.000       0.000    -0.1531E-01  0.000      0.000      0.000      0.000      0.000       0.000      0.1531E-01   0.000       0.000       0.000       0.000    
      110.   20.00000000   20.0000   0.000       0.000       0.000       0.000     0.6138E-01  0.000      0.000      0.000      0.000      0.000       0.000     -0.6138E-01   0.000       0.000       0.000       0.000    
      120.   20.00000000   20.0000   0.000       0.000       0.000       0.000     0.6138E-01  0.000      0.000      0.000      0.000      0.000       0.000     -0.6138E-01   0.000       0.000       0.000       0.000    
      130.   20.00000000   20.0000   0.000       0.000       0.000       0.000     0.6138E-01  0.000      0.000      0.000      0.000      0.000       0.000     -0.6138E-01   0.000       0.000       0.000       0.000    
      140.   20.00000000   20.0000   0.000       0.000       0.000       0.000     0.6138E-01  0.000      0.000      0.000      0.000      0.000       0.000     -0.6138E-01   0.000       0.000       0.000       0.000    
      150.   20.00000000   20.0000   0.000       0.000       0.000       0.000     0.6138E-01  0.000      0.000      0.000      0.000      0.000       0.000     -0.6138E-01   0.000       0.000       0.000       0.000    
      160.   20.00000000   20.0000   0.000       0.000       0.000       0.000     0.6138E-01  0.000      0.000      0.000      0.000      0.000       0.000     -0.6138E-01   0.000       0.000       0.000       0.000    
      170.   20.00000000   20.0000   0.000       0.000       0.000       0.000     0.6138E-01  0.000      0.000      0.000      0.000      0.000       0.000     -0.6138E-01   0.000       0.000       0.000       0.000    
      180.   20.00000000   20.0000   0.000       0.000       0.000       0.000     0.6138E-01  0.000      0.000      0.000      0.000      0.000       0.000     -0.6138E-01   0.000       0.000       0.000       0.000    
      190.   20.00000000   20.0000   0.000       0.000       0.000       0.000     0.6138E-01  0.000      0.000      0.000      0.000      0.000       0.000     -0.6138E-01   0.000       0.000       0.000       0.000    
      200.   20.00000000   20.0000   0.000       0.000       0.000       0.000     0.6138E-01  0.000      0.000      0.000      0.000      0.000       0.000     -0.6138E-01   0.000       0.000       0.000       0.000    
      210.   19.99978538   20.0000   0.000       0.000      0.1686E-01   0.000    -0.6686E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000      0.5000E-01   0.000       0.000    
      220.   19.99978538   20.0000   0.000       0.000      0.1686E-01   0.000    -0.6686E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000      0.5000E-01   0.000       0.000    
      230.   19.99978538   20.0000   0.000       0.000      0.1686E-01   0.000    -0.6686E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000      0.5000E-01   0.000       0.000    
      240.   19.99978538   20.0000   0.000       0.000      0.1686E-01   0.000    -0.6686E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000      0.5000E-01   0.000       0.000    
      250.   19.99978538   20.0000   0.000       0.000      0.1686E-01   0.000    -0.6686E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000      0.5000E-01   0.000       0.000    
      260.   19.99978538   20.0000   0.000       0.000      0.1686E-01   0.000    -0.6686E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000      0.5000E-01   0.000       0.000    
      270.   19.99978538   20.0000   0.000       0.000      0.1686E-01   0.000    -0.6686E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000      0.5000E-01   0.000       0.000    
      280.   19.99978538   20.0000   0.000       0.000      0.1686E-01   0.000    -0.6686E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000      0.5000E-01   0.000       0.000    
      290.   19.99978538   20.0000   0.000       0.000      0.1686E-01   0.000    -0.6686E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000      0.5000E-01   0.000       0.000    
      300.   19.99978538   20.0000   0.000       0.000      0.1686E-01   0.000    -0.6686E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000      0.5000E-01   0.000       0.000    
      310.   20.00000000   20.0000   0.000       0.000       0.000       0.000     0.8445E-01  0.000      0.000      0.000      0.000      0.000       0.000     -0.8445E-01   0.000       0.000       0.000       0.000    
      320.   20.00000000   20.0000   0.000       0.000       0.000       0.000     0.8445E-01  0.000      0.000      0.000      0.000      0.000       0.000     -0.8445E-01   0.000       0.000       0.000       0.000    
      330.   20.00000000   20.0000   0.000       0.000       0.000       0.000     0.8445E-01  0.000      0.000      0.000      0.000      0.000       0.000     -0.8445E-01   0.000       0.000       0.000       0.000    
      340.   20.00000000   20.0000   0.000       0.000       0.000       0.000     0.8445E-01  0.000      0.000      0.000      0.000      0.000       0.000     -0.8445E-01   0.000       0.000       0.000       0.000    
      350.   20.00000000   20.0000   0.000       0.000       0.000       0.000     0.8445E-01  0.000      0.000      0.000      0.000      0.000       0.000     -0.8445E-01   0.000       0.000       0.000       0.000    
      360.   20.00000000   20.0000   0.000       0.000       0.000       0.000     0.8445E-01  0.000      0.000      0.000      0.000      0.000       0.000     -0.8445E-01   0.000       0.000       0.000       0.000    
      370.   20.00000000   20.0000   0.000       0.000       0.000       0.000     0.8445E-01  0.000      0.000      0.000      0.000      0.000       0.000     -0.8445E-01   0.000       0.000       0.000       0.000    
      380.   20.00000000   20.0000   0.000       0.000       0.000       0.000     0.8445E-01  0.000      0.000      0.000      0.000      0.000       0.000     -0.8445E-01   0.000       0.000       0.000       0.000    
      390.   20.00000000   20.0000   0.000       0.000       0.000       0.000     0.8445E-01  0.000      0.000      0.000      0.000      0.000       0.000     -0.8445E-01   0.000       0.000       0.000       0.000    
      400.   20.00000000   20.0000   0.000       0.000       0.000       0.000     0.8445E-01  0.000      0.000      0.000      0.000      0.000       0.000     -0.8445E-01   0.000       0.000       0.000       0.000    
      410.   19.99961623   20.0000   0.000       0.000      0.3014E-01   0.000    -0.8014E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000      0.5000E-01   0.000       0.000    
      420.   19.99961623   20.0000   0.000       0.000      0.3014E-01   0.000    -0.8014E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000      0.5000E-01   0.000       0.000    
      430.   19.99961623   20.0000   0.000       0.000      0.3014E-01   0.000    -0.8014E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000      0.5000E-01   0.000       0.000    
      440.   19.99961623   20.0000   0.000       0.000      0.3014E-01   0.000    -0.8014E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000      0.5000E-01   0.000       0.000    
