TOTIM (T)      HCON          HMAT      QDIR      QWELL        QMAT       QCADS      QTUB1      QTUB2      QTUB3      QTUB4      QTUB5      QTUB6       NSTOR        QFIX        QLH     FHLQ (LQ)        CAUCHY   CAUCHY (LQ)
      350.   20.00000005   20.0005   0.000       0.000      0.4060E-01   0.000    -0.4060E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
      360.   20.00000005   20.0005   0.000       0.000      0.4060E-01   0.000    -0.4060E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
      370.   20.00000005   20.0005   0.000       0.000      0.4060E-01   0.000    -0.4060E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
      380.   20.00000005   20.0005   0.000       0.000      0.4060E-01   0.000    -0.4060E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
      390.   20.00000005   20.0005   0.000       0.000      0.4060E-01   0.000    -0.4060E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
      400.   20.00000005   20.0005   0.000       0.000      0.4060E-01   0.000    -0.4060E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
      410.   19.99978534   20.0003   0.000       0.000      0.4258E-01   0.000    -0.4258E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
      420.   19.99978534   20.0003   0.000       0.000      0.4258E-01   0.000    -0.4258E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
      430.   19.99978534   20.0003   0.000       0.000      0.4258E-01   0.000    -0.4258E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
      440.   19.99978534   20.0003   0.000       0.000      0.4258E-01   0.000    -0.4258E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
      450.   19.99978534   20.0003   0.000       0.000      0.4258E-01   0.000    -0.4258E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
      460.   19.99978534   20.0003   0.000       0.000      0.4258E-01   0.000    -0.4258E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
      470.   19.99978534   20.0003   0.000       0.000      0.4258E-01   0.000    -0.4258E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
      480.   19.99978534   20.0003   0.000       0.000      0.4258E-01   0.000    -0.4258E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
      490.   19.99978534   20.0003   0.000       0.000      0.4258E-01   0.000    -0.4258E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
      500.   19.99978534   20.0003   0.000       0.000      0.4258E-01   0.000    -0.4258E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
