   TOTIM (T)     FLOWRATE     DIAM.         RE           RT
         3600.  -0.45855E-02   1.6500       2706.1       15738.    
         7200.  -0.42389E-02   1.6500       2501.6       17025.    
        10800.  -0.42979E-02   1.6500       2536.4       16791.    
        14400.  -0.43396E-02   1.6500       2561.0       16629.    
        18000.  -0.43633E-02   1.6500       2575.0       16539.    
        21600.  -0.43780E-02   1.6500       2583.7       16484.    
        25200.  -0.43884E-02   1.6500       2589.8       16445.    
        28800.  -0.43964E-02   1.6500       2594.5       16415.    
        32400.  -0.44019E-02   1.6500       2597.8       16394.    
        36000.  -0.44073E-02   1.6500       2601.0       16374.    
        39600.  -0.44124E-02   1.6500       2603.9       16355.    
        43200.  -0.47613E-02   1.6500       2809.9       15157.    
        46800.  -0.47057E-02   1.6500       2777.1       15336.    
        50400.  -0.43239E-02   1.6500       2551.7       16690.    
        54000.  -0.47069E-02   1.6500       2777.8       15332.    
        57600.  -0.55327E-02   1.6500       3265.1       13044.    
        61200.  -0.79169E-02   1.6500       4672.2       9115.4    
        64800.  -0.66616E-02   1.6500       3931.3       10833.    
        68400.  -0.62230E-02   1.6500       3672.5       11597.    
        72000.  -0.52636E-02   1.6500       3106.3       13710.    
        75600.  -0.46602E-02   1.6500       2750.2       15486.    
        79200.  -0.68794E-02   1.6500       4059.9       10490.    
        82800.  -0.66130E-02   1.6500       3902.7       10913.    
        86400.  -0.65647E-02   1.6500       3874.1       10993.    
        90000.  -0.82845E-02   1.6500       4889.1       8711.0    
        93600.  -0.12120E-01   1.6500       7152.5       5954.4    
        97200.  -0.83270E-02   1.6500       4914.2       8666.5    
       100800.  -0.43204E-02   1.6500       2549.7       16703.    
       104400.  -0.36997E-02   1.6500       2183.4       19506.    
       108000.  -0.41159E-02   1.6500       2429.0       17534.    
       111600.  -0.37779E-02   1.6500       2229.5       19102.    
       115200.  -0.35595E-02   1.6500       2100.6       20274.    
       118800.  -0.34842E-02   1.6500       2056.2       20712.    
       122400.  -0.40501E-02   1.6500       2390.1       17818.    
       126000.  -0.36187E-02   1.6500       2135.6       19942.    
       129600.  -0.51244E-02   1.6500       3024.2       14083.    
       133200.  -0.41340E-02   1.6500       2439.6       17457.    
       136800.  -0.40143E-02   1.6500       2369.0       17977.    
       140400.  -0.36003E-02   1.6500       2124.7       20044.    
       144000.  -0.37588E-02   1.6500       2218.2       19199.    
       147600.  -0.38712E-02   1.6500       2284.6       18642.    
       151200.  -0.39434E-02   1.6500       2327.2       18301.    
       154800.  -0.39966E-02   1.6500       2358.6       18057.    
       158400.  -0.43829E-02   1.6500       2586.6       16465.    
       162000.  -0.57268E-02   1.6500       3379.7       12601.    
       165600.  -0.51351E-02   1.6500       3030.5       14053.    
       169200.  -0.38321E-02   1.6500       2261.5       18832.    
       172800.  -0.38326E-02   1.6500       2261.8       18829.    
