   TOTIM (T)     FLOWRATE     DIAM.         RE           RT
         3600.  -0.25264E-02   1.6500       1491.0       28565.    
         7200.  -0.21985E-02   1.6500       1297.4       32826.    
        10800.  -0.22291E-02   1.6500       1315.5       32374.    
        14400.  -0.22519E-02   1.6500       1329.0       32047.    
        18000.  -0.22685E-02   1.6500       1338.8       31812.    
        21600.  -0.22817E-02   1.6500       1346.6       31628.    
        25200.  -0.22930E-02   1.6500       1353.2       31472.    
        28800.  -0.23030E-02   1.6500       1359.1       31336.    
        32400.  -0.23117E-02   1.6500       1364.2       31218.    
        36000.  -0.23198E-02   1.6500       1369.0       31108.    
        39600.  -0.23274E-02   1.6500       1373.5       31007.    
        43200.  -0.26617E-02   1.6500       1570.8       27113.    
        46800.  -0.26372E-02   1.6500       1556.4       27364.    
        50400.  -0.22933E-02   1.6500       1353.4       31468.    
        54000.  -0.26402E-02   1.6500       1558.1       27334.    
        57600.  -0.34407E-02   1.6500       2030.5       20974.    
        61200.  -0.57989E-02   1.6500       3422.2       12445.    
        64800.  -0.48466E-02   1.6500       2860.2       14890.    
        68400.  -0.45238E-02   1.6500       2669.7       15952.    
        72000.  -0.36054E-02   1.6500       2127.7       20016.    
        75600.  -0.29423E-02   1.6500       1736.4       24527.    
        79200.  -0.49420E-02   1.6500       2916.5       14602.    
        82800.  -0.47711E-02   1.6500       2815.7       15126.    
        86400.  -0.47946E-02   1.6500       2829.5       15051.    
        90000.  -0.64672E-02   1.6500       3816.6       11159.    
        93600.  -0.10276E-01   1.6500       6064.2       7023.0    
        97200.  -0.70600E-02   1.6500       4166.4       10222.    
       100800.  -0.32545E-02   1.6500       1920.6       22174.    
       104400.  -0.22838E-02   1.6500       1347.8       31599.    
       108000.  -0.23221E-02   1.6500       1370.4       31077.    
       111600.  -0.17970E-02   1.6500       1060.5       40159.    
       115200.  -0.14437E-02   1.6500       851.98       49988.    
       118800.  -0.12582E-02   1.6500       742.52       57357.    
       122400.  -0.17192E-02   1.6500       1014.6       41977.    
       126000.  -0.13015E-02   1.6500       768.07       55449.    
       129600.  -0.27147E-02   1.6500       1602.1       26584.    
       133200.  -0.18636E-02   1.6500       1099.8       38725.    
       136800.  -0.17607E-02   1.6500       1039.1       40987.    
       140400.  -0.13444E-02   1.6500       793.37       53680.    
       144000.  -0.14511E-02   1.6500       856.35       49732.    
       147600.  -0.15370E-02   1.6500       907.08       46951.    
       151200.  -0.16071E-02   1.6500       948.42       44905.    
       154800.  -0.16679E-02   1.6500       984.32       43267.    
       158400.  -0.20493E-02   1.6500       1209.4       35214.    
       162000.  -0.33740E-02   1.6500       1991.2       21389.    
       165600.  -0.29457E-02   1.6500       1738.4       24498.    
       169200.  -0.17660E-02   1.6500       1042.2       40865.    
       172800.  -0.16933E-02   1.6500       999.30       42618.    
