   TOTIM (T)     FLOWRATE     DIAM.         RE           RT
         3600.  -0.23883E-02   1.6500       1409.5       30216.    
         7200.  -0.20461E-02   1.6500       1207.5       35271.    
        10800.  -0.20602E-02   1.6500       1215.8       35029.    
        14400.  -0.20822E-02   1.6500       1228.8       34658.    
        18000.  -0.21000E-02   1.6500       1239.3       34364.    
        21600.  -0.21151E-02   1.6500       1248.2       34119.    
        25200.  -0.21285E-02   1.6500       1256.1       33905.    
        28800.  -0.21407E-02   1.6500       1263.3       33712.    
        32400.  -0.21515E-02   1.6500       1269.7       33541.    
        36000.  -0.21619E-02   1.6500       1275.8       33382.    
        39600.  -0.21715E-02   1.6500       1281.5       33233.    
        43200.  -0.25221E-02   1.6500       1488.4       28613.    
        46800.  -0.25163E-02   1.6500       1485.0       28680.    
        50400.  -0.21607E-02   1.6500       1275.1       33400.    
        54000.  -0.25059E-02   1.6500       1478.8       28799.    
        57600.  -0.33579E-02   1.6500       1981.6       21492.    
        61200.  -0.58667E-02   1.6500       3462.2       12301.    
        64800.  -0.50129E-02   1.6500       2958.3       14396.    
        68400.  -0.46524E-02   1.6500       2745.6       15511.    
        72000.  -0.36741E-02   1.6500       2168.3       19642.    
        75600.  -0.29229E-02   1.6500       1725.0       24690.    
        79200.  -0.49558E-02   1.6500       2924.7       14562.    
        82800.  -0.48689E-02   1.6500       2873.4       14822.    
        86400.  -0.48948E-02   1.6500       2888.7       14743.    
        90000.  -0.66401E-02   1.6500       3918.7       10868.    
        93600.  -0.10703E-01   1.6500       6316.5       6742.5    
        97200.  -0.75681E-02   1.6500       4466.3       9535.5    
       100800.  -0.34575E-02   1.6500       2040.4       20873.    
       104400.  -0.22038E-02   1.6500       1300.6       32746.    
       108000.  -0.21249E-02   1.6500       1254.0       33962.    
       111600.  -0.15323E-02   1.6500       904.27       47097.    
       115200.  -0.11089E-02   1.6500       654.39       65081.    
       118800.  -0.87444E-03   1.6500       516.05       82528.    
       122400.  -0.13296E-02   1.6500       784.65       54277.    
       126000.  -0.90874E-03   1.6500       536.29       79413.    
       129600.  -0.23613E-02   1.6500       1393.5       30562.    
       133200.  -0.15466E-02   1.6500       912.73       46661.    
       136800.  -0.14071E-02   1.6500       830.39       51288.    
       140400.  -0.96399E-03   1.6500       568.90       74862.    
       144000.  -0.10512E-02   1.6500       620.35       68652.    
       147600.  -0.11431E-02   1.6500       674.61       63130.    
       151200.  -0.12228E-02   1.6500       721.62       59018.    
       154800.  -0.12944E-02   1.6500       763.88       55753.    
       158400.  -0.17013E-02   1.6500       1004.0       42418.    
       162000.  -0.31111E-02   1.6500       1836.0       23196.    
       165600.  -0.27470E-02   1.6500       1621.2       26270.    
       169200.  -0.15134E-02   1.6500       893.16       47683.    
       172800.  -0.13785E-02   1.6500       813.51       52352.    
