TOTIM (T)      HCON          HMAT      QDIR      QWELL        QMAT       QCADS      QTUB1      QTUB2      QTUB3      QTUB4      QTUB5      QTUB6       NSTOR        QFIX        QLH     FHLQ (LQ)        CAUCHY   CAUCHY (LQ)
     3600.   12.32165680   12.8936   0.000       0.000      0.5005E-03   0.000    -0.5005E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
     7200.   12.30838475   12.8926   0.000       0.000      0.5111E-03   0.000    -0.5111E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    10800.   12.30594560   12.8914   0.000       0.000      0.5123E-03   0.000    -0.5123E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    14400.   12.30482280   12.8903   0.000       0.000      0.5123E-03   0.000    -0.5123E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    18000.   12.30411421   12.8892   0.000       0.000      0.5119E-03   0.000    -0.5119E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    21600.   12.30358415   12.8881   0.000       0.000      0.5115E-03   0.000    -0.5115E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    25200.   12.30313472   12.8872   0.000       0.000      0.5110E-03   0.000    -0.5110E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    28800.   12.30272250   12.8862   0.000       0.000      0.5106E-03   0.000    -0.5106E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    32400.   12.30235207   12.8854   0.000       0.000      0.5101E-03   0.000    -0.5101E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    36000.   12.30198070   12.8845   0.000       0.000      0.5097E-03   0.000    -0.5097E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    39600.   12.30160848   12.8837   0.000       0.000      0.5094E-03   0.000    -0.5094E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    43200.   12.31455656   12.8841   0.000       0.000      0.4983E-03   0.000    -0.4983E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    46800.   12.31665196   12.8845   0.000       0.000      0.4969E-03   0.000    -0.4969E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    50400.   12.30408828   12.8839   0.000       0.000      0.5073E-03   0.000    -0.5073E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    54000.   12.31530858   12.8843   0.000       0.000      0.4979E-03   0.000    -0.4979E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    57600.   12.35022862   12.8876   0.000       0.000      0.4702E-03   0.000    -0.4702E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    61200.   12.45731035   12.8993   0.000       0.000      0.3868E-03   0.000    -0.3868E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    64800.   12.45234403   12.9092   0.000       0.000      0.3997E-03   0.000    -0.3997E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    68400.   12.45134445   12.9181   0.000       0.000      0.4084E-03   0.000    -0.4084E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    72000.   12.42124676   12.9238   0.000       0.000      0.4397E-03   0.000    -0.4397E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
