   TOTIM (T)     FLOWRATE     DIAM.         RE           RT
         3600.  -0.11652E-02   1.6500       687.66       61932.    
         7200.  -0.10541E-02   1.6500       622.05       68465.    
        10800.  -0.10683E-02   1.6500       630.48       67549.    
        14400.  -0.10798E-02   1.6500       637.27       66830.    
        18000.  -0.10869E-02   1.6500       641.44       66395.    
        21600.  -0.10917E-02   1.6500       644.28       66103.    
        25200.  -0.10954E-02   1.6500       646.43       65882.    
        28800.  -0.10984E-02   1.6500       648.22       65701.    
        32400.  -0.11007E-02   1.6500       649.60       65561.    
        36000.  -0.11030E-02   1.6500       650.93       65427.    
        39600.  -0.11051E-02   1.6500       652.17       65303.    
        43200.  -0.12177E-02   1.6500       718.60       59266.    
        46800.  -0.12050E-02   1.6500       711.12       59890.    
        50400.  -0.10846E-02   1.6500       640.10       66534.    
        54000.  -0.12039E-02   1.6500       710.51       59941.    
        57600.  -0.14727E-02   1.6500       869.12       49002.    
        61200.  -0.22534E-02   1.6500       1329.8       32025.    
        64800.  -0.18910E-02   1.6500       1115.9       38164.    
        68400.  -0.17568E-02   1.6500       1036.8       41079.    
        72000.  -0.14456E-02   1.6500       853.12       49921.    
        75600.  -0.12358E-02   1.6500       729.29       58397.    
        79200.  -0.19311E-02   1.6500       1139.7       37370.    
        82800.  -0.18646E-02   1.6500       1100.4       38702.    
        86400.  -0.18562E-02   1.6500       1095.5       38878.    
        90000.  -0.24124E-02   1.6500       1423.7       29914.    
        93600.  -0.36876E-02   1.6500       2176.3       19570.    
        97200.  -0.25310E-02   1.6500       1493.7       28512.    
       100800.  -0.12641E-02   1.6500       746.00       57089.    
       104400.  -0.98221E-03   1.6500       579.65       73473.    
       108000.  -0.10722E-02   1.6500       632.75       67307.    
       111600.  -0.92994E-03   1.6500       548.80       77603.    
       115200.  -0.83363E-03   1.6500       491.96       86569.    
       118800.  -0.79112E-03   1.6500       466.88       91219.    
       122400.  -0.97250E-03   1.6500       573.92       74207.    
       126000.  -0.82661E-03   1.6500       487.82       87304.    
       129600.  -0.13371E-02   1.6500       789.09       53971.    
       133200.  -0.10160E-02   1.6500       599.60       71028.    
       136800.  -0.97236E-03   1.6500       573.84       74217.    
       140400.  -0.82792E-03   1.6500       488.60       87165.    
       144000.  -0.87425E-03   1.6500       515.94       82546.    
       147600.  -0.91062E-03   1.6500       537.40       79249.    
       151200.  -0.93616E-03   1.6500       552.47       77087.    
       154800.  -0.95639E-03   1.6500       564.41       75457.    
       158400.  -0.10910E-02   1.6500       643.84       66148.    
       162000.  -0.15615E-02   1.6500       921.52       46216.    
       165600.  -0.13819E-02   1.6500       815.52       52223.    
       169200.  -0.94130E-03   1.6500       555.51       76666.    
       172800.  -0.92657E-03   1.6500       546.81       77885.    
