   TOTIM (T)     FLOWRATE     DIAM.         RE           RT
         3600.   0.84054E-03   1.6500       496.04       85857.    
         7200.   0.39964E-03   1.6500       235.85      0.18058E+06
        10800.   0.39890E-03   1.6500       235.41      0.18091E+06
        14400.   0.41979E-03   1.6500       247.74      0.17191E+06
        18000.   0.44062E-03   1.6500       260.03      0.16378E+06
        21600.   0.46026E-03   1.6500       271.62      0.15679E+06
        25200.   0.47868E-03   1.6500       282.49      0.15076E+06
        28800.   0.49592E-03   1.6500       292.67      0.14552E+06
        32400.   0.51193E-03   1.6500       302.11      0.14097E+06
        36000.   0.52702E-03   1.6500       311.02      0.13693E+06
        39600.   0.54113E-03   1.6500       319.35      0.13336E+06
        43200.   0.99500E-03   1.6500       587.20       72528.    
        46800.   0.10081E-02   1.6500       594.94       71585.    
        50400.   0.55819E-03   1.6500       329.41      0.12929E+06
        54000.   0.98797E-03   1.6500       583.05       73045.    
        57600.   0.21012E-02   1.6500       1240.0       34345.    
        61200.   0.53969E-02   1.6500       3185.0       13372.    
        64800.   0.44605E-02   1.6500       2632.3       16179.    
        68400.   0.40204E-02   1.6500       2372.7       17950.    
        72000.   0.27471E-02   1.6500       1621.2       26269.    
        75600.   0.17150E-02   1.6500       1012.1       42080.    
        79200.   0.42687E-02   1.6500       2519.2       16906.    
        82800.   0.42370E-02   1.6500       2500.5       17032.    
        86400.   0.42997E-02   1.6500       2537.5       16784.    
        90000.   0.65679E-02   1.6500       3876.0       10988.    
        93600.   0.11920E-01   1.6500       7034.6       6054.2    
        97200.   0.81433E-02   1.6500       4805.7       8862.0    
       100800.   0.27756E-02   1.6500       1638.0       26000.    
       104400.   0.89394E-03   1.6500       527.56       80728.    
       108000.   0.59858E-03   1.6500       353.25      0.12056E+06
       111600.  -0.26281E-03   1.6500       155.10      0.27459E+06
       115200.  -0.88935E-03   1.6500       524.85       81145.    
       118800.  -0.12533E-02   1.6500       739.64       57580.    
       122400.  -0.70645E-03   1.6500       416.91      0.10215E+06
       126000.  -0.12423E-02   1.6500       733.14       58091.    
       129600.   0.61479E-03   1.6500       362.81      0.11738E+06
       133200.  -0.36199E-03   1.6500       213.63      0.19936E+06
       136800.  -0.55294E-03   1.6500       326.32      0.13051E+06
       140400.  -0.11365E-02   1.6500       670.72       63497.    
       144000.  -0.10526E-02   1.6500       621.17       68562.    
       147600.  -0.94038E-03   1.6500       554.97       76741.    
       151200.  -0.83356E-03   1.6500       491.93       86575.    
       154800.  -0.73317E-03   1.6500       432.68       98430.    
       158400.  -0.19861E-03   1.6500       117.21      0.36336E+06
       162000.   0.16516E-02   1.6500       974.70       43694.    
       165600.   0.12757E-02   1.6500       752.87       56568.    
       169200.  -0.29444E-03   1.6500       173.76      0.24510E+06
       172800.  -0.52737E-03   1.6500       311.23      0.13684E+06
