   TOTIM (T)     FLOWRATE     DIAM.         RE           RT
         3600.   0.65990E-03   1.6500       389.44      0.10936E+06
         7200.   0.59486E-03   1.6500       351.06      0.12131E+06
        10800.   0.60333E-03   1.6500       356.06      0.11961E+06
        14400.   0.61009E-03   1.6500       360.04      0.11829E+06
        18000.   0.61423E-03   1.6500       362.49      0.11749E+06
        21600.   0.61704E-03   1.6500       364.14      0.11696E+06
        25200.   0.61917E-03   1.6500       365.40      0.11655E+06
        28800.   0.62092E-03   1.6500       366.44      0.11622E+06
        32400.   0.62227E-03   1.6500       367.23      0.11597E+06
        36000.   0.62358E-03   1.6500       368.00      0.11573E+06
        39600.   0.62479E-03   1.6500       368.72      0.11550E+06
        43200.   0.69061E-03   1.6500       407.57      0.10450E+06
        46800.   0.68307E-03   1.6500       403.12      0.10565E+06
        50400.   0.61264E-03   1.6500       361.55      0.11780E+06
        54000.   0.68251E-03   1.6500       402.79      0.10574E+06
        57600.   0.83963E-03   1.6500       495.51       85950.    
        61200.   0.12959E-02   1.6500       764.80       55686.    
        64800.   0.10830E-02   1.6500       639.14       66634.    
        68400.   0.10045E-02   1.6500       592.78       71846.    
        72000.   0.82255E-03   1.6500       485.43       87734.    
        75600.   0.70021E-03   1.6500       413.23      0.10306E+06
        79200.   0.11074E-02   1.6500       653.51       65169.    
        82800.   0.10680E-02   1.6500       630.28       67571.    
        86400.   0.10630E-02   1.6500       627.32       67890.    
        90000.   0.13883E-02   1.6500       819.29       51982.    
        93600.   0.20744E-02   1.6500       1224.2       34788.    
        97200.   0.14094E-02   1.6500       831.78       51202.    
       100800.   0.53962E-03   1.6500       318.46      0.13373E+06
       104400.   0.43304E-03   1.6500       255.56      0.16665E+06
       108000.   0.46410E-03   1.6500       273.89      0.15550E+06
       111600.   0.40981E-03   1.6500       241.85      0.17610E+06
       115200.   0.37195E-03   1.6500       219.51      0.19402E+06
       118800.   0.35470E-03   1.6500       209.32      0.20346E+06
       122400.   0.42361E-03   1.6500       249.99      0.17036E+06
       126000.   0.36815E-03   1.6500       217.26      0.19602E+06
       129600.   0.55456E-03   1.6500       327.27      0.13013E+06
       133200.   0.44057E-03   1.6500       260.00      0.16380E+06
       136800.   0.42417E-03   1.6500       250.32      0.17013E+06
       140400.   0.36901E-03   1.6500       217.77      0.19557E+06
       144000.   0.38654E-03   1.6500       228.11      0.18670E+06
       147600.   0.40032E-03   1.6500       236.25      0.18027E+06
       151200.   0.41003E-03   1.6500       241.98      0.17600E+06
       154800.   0.41773E-03   1.6500       246.52      0.17276E+06
       158400.   0.46760E-03   1.6500       275.95      0.15433E+06
       162000.   0.63194E-03   1.6500       372.94      0.11420E+06
       165600.   0.57237E-03   1.6500       337.79      0.12608E+06
       169200.   0.41391E-03   1.6500       244.27      0.17435E+06
       172800.   0.40763E-03   1.6500       240.56      0.17704E+06
