TOTIM (T)      HCON          HMAT      QDIR      QWELL        QMAT       QCADS      QTUB1      QTUB2      QTUB3      QTUB4      QTUB5      QTUB6       NSTOR        QFIX        QLH     FHLQ (LQ)        CAUCHY   CAUCHY (LQ)
   126000.   12.37166852   12.9819   0.000       0.000      0.5339E-03   0.000    -0.5339E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   129600.   12.42164348   12.9804   0.000       0.000      0.4889E-03   0.000    -0.4889E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   133200.   12.39669235   12.9767   0.000       0.000      0.5075E-03   0.000    -0.5075E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   136800.   12.38768578   12.9726   0.000       0.000      0.5118E-03   0.000    -0.5118E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   140400.   12.36590702   12.9669   0.000       0.000      0.5259E-03   0.000    -0.5259E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   144000.   12.36163681   12.9614   0.000       0.000      0.5248E-03   0.000    -0.5248E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   147600.   12.35975894   12.9562   0.000       0.000      0.5219E-03   0.000    -0.5219E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   151200.   12.35873995   12.9513   0.000       0.000      0.5185E-03   0.000    -0.5185E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   154800.   12.35807354   12.9467   0.000       0.000      0.5151E-03   0.000    -0.5151E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   158400.   12.37090960   12.9435   0.000       0.000      0.5010E-03   0.000    -0.5010E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   162000.   12.42644692   12.9452   0.000       0.000      0.4539E-03   0.000    -0.4539E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   165600.   12.42376477   12.9461   0.000       0.000      0.4571E-03   0.000    -0.4571E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   169200.   12.37951873   12.9433   0.000       0.000      0.4933E-03   0.000    -0.4933E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   172800.   12.36607318   12.9398   0.000       0.000      0.5020E-03   0.000    -0.5020E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
