5.299339999999999606e-02 4.819350000000000023e-02 4.588590000000000030e-02 4.574549999999999450e-02 4.707990000000000091e-02 4.607660000000000228e-02 4.395969999999999739e-02 4.547469999999999984e-02 4.951770000000000477e-02 4.918630000000000224e-02 5.111219999999999652e-02 5.790370000000000239e-02 5.880590000000000123e-02 5.781190000000000634e-02 5.714940000000000297e-02 5.643680000000000224e-02 5.555380000000000040e-02 5.454049999999999870e-02 5.353730000000000294e-02 5.279489999999999877e-02 5.235360000000000014e-02
1.425868000000000135e-01 1.352714000000000139e-01 1.315568000000000015e-01 1.315560999999999814e-01 1.356710999999999889e-01 1.350686000000000109e-01 1.321573000000000053e-01 1.357703000000000104e-01 1.444021000000000055e-01 1.444026999999999950e-01 1.485175999999999996e-01 1.616664999999999908e-01 1.624702999999999842e-01 1.589571000000000178e-01 1.560458999999999874e-01 1.530342999999999842e-01 1.499225000000000141e-01 1.463085000000000080e-01 1.426946999999999799e-01 1.400846000000000036e-01 1.377757000000000009e-01
1.430036000000000085e-01 1.336826000000000125e-01 1.346862000000000059e-01 1.349868999999999930e-01 1.388009000000000048e-01 1.371944999999999970e-01 1.325771000000000033e-01 1.367923000000000056e-01 1.472312000000000065e-01 1.470299000000000189e-01 1.519476999999999911e-01 1.688085000000000002e-01 1.696101999999999888e-01 1.649911000000000016e-01 1.609750000000000070e-01 1.568584000000000089e-01 1.520402000000000142e-01 1.473222000000000143e-01 1.420049999999999923e-01 1.380901999999999963e-01 1.349791999999999936e-01
1.499920000000000142e-01 1.495769999999999877e-01 1.493730000000000058e-01 1.493730000000000058e-01 1.497860000000000025e-01 1.496830000000000105e-01 1.493720000000000048e-01 1.496830000000000105e-01 1.506109999999999949e-01 1.507120000000000126e-01 1.512259999999999993e-01 1.526710000000000012e-01 1.529760000000000009e-01 1.526649999999999952e-01 1.523549999999999904e-01 1.519449999999999967e-01 1.516339999999999910e-01 1.511210000000000053e-01 1.507080000000000086e-01 1.502979999999999872e-01 1.499890000000000112e-01
1.680771000000000071e-01 1.648661999999999905e-01 1.639625999999999861e-01 1.637617000000000100e-01 1.655676000000000092e-01 1.652668000000000192e-01 1.633603000000000138e-01 1.651661999999999852e-01 1.704845999999999862e-01 1.716894999999999949e-01 1.745998999999999746e-01 1.831297000000000064e-01 1.854393000000000014e-01 1.840350000000000041e-01 1.820280999999999982e-01 1.796195999999999904e-01 1.768095999999999834e-01 1.738991000000000009e-01 1.709885999999999906e-01 1.682787999999999784e-01 1.660706000000000127e-01
7.941499999999999948e-02 7.921000000000000263e-02 7.918800000000000838e-02 7.920100000000000751e-02 7.936999999999999611e-02 7.932400000000000562e-02 7.914300000000000501e-02 7.930299999999999849e-02 7.974499999999999644e-02 7.977700000000000069e-02 7.999199999999999366e-02 8.068500000000000671e-02 8.078299999999999370e-02 8.062300000000000022e-02 8.047499999999999098e-02 8.030600000000000238e-02 8.011300000000000365e-02 7.991000000000000880e-02 7.970700000000000007e-02 7.952700000000000047e-02 7.939000000000000223e-02
1.252852999999999883e-01 1.119578999999999991e-01 1.061353000000000019e-01 1.097456999999999877e-01 1.184752999999999917e-01 1.171703000000000050e-01 1.110476999999999992e-01 1.195766999999999941e-01 1.375405000000000100e-01 1.361371000000000109e-01 1.434638000000000024e-01 1.689562000000000008e-01 1.662493999999999916e-01 1.549110999999999960e-01 1.463808000000000054e-01 1.385524000000000200e-01 1.307236000000000231e-01 1.233961999999999976e-01 1.170714999999999950e-01 1.121520999999999907e-01 1.090385999999999994e-01
1.551060000000000216e-01 1.543470000000000120e-01 1.542389999999999872e-01 1.539179999999999993e-01 1.540289999999999992e-01 1.538069999999999993e-01 1.532680000000000153e-01 1.533799999999999886e-01 1.541399999999999992e-01 1.542459999999999942e-01 1.547839999999999772e-01 1.563039999999999985e-01 1.569519999999999804e-01 1.570580000000000032e-01 1.570539999999999992e-01 1.568420000000000092e-01 1.566229999999999845e-01 1.562929999999999875e-01 1.558589999999999975e-01 1.554290000000000116e-01 1.549999999999999989e-01
1.692087000000000174e-01 1.577723999999999793e-01 1.512399000000000104e-01 1.495312000000000030e-01 1.559611999999999943e-01 1.600803999999999838e-01 1.560604000000000158e-01 1.572655000000000025e-01 1.705306000000000044e-01 1.788719000000000003e-01 1.810824999999999796e-01 1.974663999999999864e-01 2.102297000000000193e-01 2.036942999999999948e-01 1.958529999999999993e-01 1.892182000000000031e-01 1.818836000000000064e-01 1.748479000000000005e-01 1.678120999999999918e-01 1.619827000000000072e-01 1.575608000000000009e-01
1.404691000000000134e-01 1.328529999999999989e-01 1.303435000000000010e-01 1.281352000000000046e-01 1.268307999999999935e-01 1.248234000000000010e-01 1.223144000000000037e-01 1.221142000000000061e-01 1.251259999999999872e-01 1.306468000000000074e-01 1.345611000000000168e-01 1.433933999999999764e-01 1.583494000000000013e-01 1.580460999999999949e-01 1.560362999999999889e-01 1.534249000000000029e-01 1.504120999999999930e-01 1.470990000000000075e-01 1.437859999999999971e-01 1.403733000000000064e-01 1.373620000000000119e-01
1.336690000000000100e-01 1.326559999999999961e-01 1.315419999999999923e-01 1.307319999999999871e-01 1.301240000000000174e-01 1.295149999999999912e-01 1.288060000000000038e-01 1.284009999999999874e-01 1.286019999999999941e-01 1.289059999999999928e-01 1.295129999999999892e-01 1.309299999999999908e-01 1.330559999999999798e-01 1.345760000000000012e-01 1.354869999999999963e-01 1.357919999999999960e-01 1.357939999999999980e-01 1.354910000000000003e-01 1.350859999999999839e-01 1.344790000000000152e-01 1.338720000000000188e-01
1.070709999999999995e-01 1.031655000000000072e-01 1.026631999999999961e-01 1.019604999999999956e-01 1.018599000000000032e-01 1.011570999999999998e-01 1.001230999999999927e-01 1.001829000000000053e-01 1.011564000000000074e-01 1.011562000000000017e-01 1.018587000000000103e-01 1.042675000000000129e-01 1.055724999999999997e-01 1.062749999999999945e-01 1.066766999999999993e-01 1.069776000000000060e-01 1.069775000000000031e-01 1.067766999999999883e-01 1.063752999999999921e-01 1.059738999999999959e-01 1.056725000000000025e-01
