dtidx;etp
17.10.2016;0.14
18.10.2016;0.52
19.10.2016;0.14
20.10.2016;0.21
21.10.2016;0.15
22.10.2016;1.32
23.10.2016;0.08
24.10.2016;0.31
25.10.2016;0.05
26.10.2016;0.05
27.10.2016;0.38
28.10.2016;0.38
29.10.2016;0.09
30.10.2016;0.86
31.10.2016;0.43
01.11.2016;1.05
02.11.2016;0.05
03.11.2016;0.58
04.11.2016;0.62
05.11.2016;0.11
06.11.2016;0.06
07.11.2016;0.21
08.11.2016;0.1
09.11.2016;0.15
10.11.2016;0.07
11.11.2016;0.05
12.11.2016;0.1
13.11.2016;0.07
14.11.2016;0.07
15.11.2016;0.19
16.11.2016;0.07
17.11.2016;0.11
18.11.2016;0.16
19.11.2016;0.16
20.11.2016;1.38
21.11.2016;0.27
22.11.2016;0.09
23.11.2016;0.12
24.11.2016;0.03
25.11.2016;0.04
26.11.2016;0.11
27.11.2016;0.1
28.11.2016;0.58
29.11.2016;0.8
30.11.2016;0.5
01.12.2016;1.25
02.12.2016;0.51
03.12.2016;0.09
04.12.2016;0.06
05.12.2016;0.34
06.12.2016;0.53
07.12.2016;0.39
08.12.2016;1.19
09.12.2016;0.95
10.12.2016;1.06
11.12.2016;0.08
12.12.2016;0.26
13.12.2016;0.12
14.12.2016;0.65
15.12.2016;0.45
16.12.2016;0.1
17.12.2016;0.28
18.12.2016;0.05
19.12.2016;0.03
20.12.2016;0.03
21.12.2016;0.26
22.12.2016;0.25
23.12.2016;0.02
24.12.2016;0.04
25.12.2016;0.09
26.12.2016;0.02
27.12.2016;0.27
28.12.2016;0.34
29.12.2016;0.26
30.12.2016;0.27
31.12.2016;0.26
