   TOTIM (T)     FLOWRATE     DIAM.         RE           RT
         3600.  -0.11783E-02   1.6500       695.37       61246.    
         7200.  -0.72654E-03   1.6500       428.77       99328.    
        10800.  -0.74311E-03   1.6500       438.55       97113.    
        14400.  -0.76624E-03   1.6500       452.20       94181.    
        18000.  -0.78713E-03   1.6500       464.52       91682.    
        21600.  -0.80608E-03   1.6500       475.71       89527.    
        25200.  -0.82349E-03   1.6500       485.98       87634.    
        28800.  -0.83944E-03   1.6500       495.39       85969.    
        32400.  -0.85433E-03   1.6500       504.18       84470.    
        36000.  -0.86819E-03   1.6500       512.36       83122.    
        39600.  -0.88110E-03   1.6500       519.98       81905.    
        43200.  -0.13446E-02   1.6500       793.53       53670.    
        46800.  -0.13392E-02   1.6500       790.34       53886.    
        50400.  -0.87508E-03   1.6500       516.43       82467.    
        54000.  -0.13320E-02   1.6500       786.06       54180.    
        57600.  -0.24567E-02   1.6500       1449.8       29375.    
        61200.  -0.57876E-02   1.6500       3415.6       12469.    
        64800.  -0.46925E-02   1.6500       2769.3       15379.    
        68400.  -0.42645E-02   1.6500       2516.7       16923.    
        72000.  -0.29787E-02   1.6500       1757.9       24227.    
        75600.  -0.19777E-02   1.6500       1167.1       36490.    
        79200.  -0.46462E-02   1.6500       2741.9       15532.    
        82800.  -0.45241E-02   1.6500       2669.9       15951.    
        86400.  -0.45863E-02   1.6500       2706.6       15735.    
        90000.  -0.69096E-02   1.6500       4077.7       10444.    
        93600.  -0.12307E-01   1.6500       7262.8       5863.9    
        97200.  -0.82211E-02   1.6500       4851.7       8778.1    
       100800.  -0.28540E-02   1.6500       1684.3       25285.    
       104400.  -0.11568E-02   1.6500       682.66       62386.    
       108000.  -0.96647E-03   1.6500       570.36       74669.    
       111600.  -0.12423E-03   1.6500       73.313      0.58092E+06
       115200.   0.46714E-03   1.6500       275.68      0.15448E+06
       118800.   0.80251E-03   1.6500       473.60       89925.    
       122400.   0.21879E-03   1.6500       129.12      0.32984E+06
       126000.   0.78404E-03   1.6500       462.70       92044.    
       129600.  -0.11391E-02   1.6500       672.24       63353.    
       133200.  -0.65701E-04   1.6500       38.773      0.10984E+07
       136800.   0.99842E-04   1.6500       58.922      0.72280E+06
       140400.   0.69050E-03   1.6500       407.50      0.10451E+06
       144000.   0.58197E-03   1.6500       343.45      0.12400E+06
       147600.   0.47002E-03   1.6500       277.38      0.15354E+06
       151200.   0.36756E-03   1.6500       216.92      0.19634E+06
       154800.   0.27307E-03   1.6500       161.15      0.26428E+06
       158400.  -0.26576E-03   1.6500       156.84      0.27154E+06
       162000.  -0.21347E-02   1.6500       1259.8       33806.    
       165600.  -0.16690E-02   1.6500       984.94       43240.    
       169200.  -0.62363E-04   1.6500       36.804      0.11572E+07
       172800.   0.11912E-03   1.6500       70.300      0.60581E+06
