   TOTIM (T)     FLOWRATE     DIAM.         RE           RT
         3600.  -0.42188E-03   1.6500       248.97      0.17106E+06
         7200.   0.75017E-04   1.6500       44.271      0.96199E+06
        10800.   0.63377E-04   1.6500       37.402      0.11387E+07
        14400.   0.40669E-04   1.6500       24.001      0.17745E+07
        18000.   0.18906E-04   1.6500       11.158      0.38170E+07
        21600.  -0.13524E-05   1.6500      0.79812      0.53361E+08
        25200.  -0.20135E-04   1.6500       11.883      0.35841E+07
        28800.  -0.37464E-04   1.6500       22.109      0.19263E+07
        32400.  -0.53558E-04   1.6500       31.607      0.13474E+07
        36000.  -0.68444E-04   1.6500       40.392      0.10544E+07
        39600.  -0.82215E-04   1.6500       48.519      0.87777E+06
        43200.  -0.59176E-03   1.6500       349.23      0.12195E+06
        46800.  -0.59195E-03   1.6500       349.34      0.12191E+06
        50400.  -0.83410E-04   1.6500       49.224      0.86520E+06
        54000.  -0.58014E-03   1.6500       342.37      0.12439E+06
        57600.  -0.18221E-02   1.6500       1075.3       39607.    
        61200.  -0.55069E-02   1.6500       3249.9       13105.    
        64800.  -0.43590E-02   1.6500       2572.4       16556.    
        68400.  -0.38985E-02   1.6500       2300.7       18511.    
        72000.  -0.24845E-02   1.6500       1466.2       29047.    
        75600.  -0.13668E-02   1.6500       806.62       52799.    
        79200.  -0.42848E-02   1.6500       2528.6       16842.    
        82800.  -0.41833E-02   1.6500       2468.8       17251.    
        86400.  -0.42669E-02   1.6500       2518.1       16913.    
        90000.  -0.68352E-02   1.6500       4033.8       10558.    
        93600.  -0.12818E-01   1.6500       7564.7       5629.9    
        97200.  -0.84230E-02   1.6500       4970.8       8567.7    
       100800.  -0.25067E-02   1.6500       1479.3       28790.    
       104400.  -0.56356E-03   1.6500       332.58      0.12805E+06
       108000.  -0.30250E-03   1.6500       178.52      0.23856E+06
       111600.   0.64564E-03   1.6500       381.02      0.11177E+06
       115200.   0.13145E-02   1.6500       775.73       54901.    
       118800.   0.16968E-02   1.6500       1001.4       42530.    
       122400.   0.10623E-02   1.6500       626.90       67935.    
       126000.   0.16771E-02   1.6500       989.74       43030.    
       129600.  -0.43643E-03   1.6500       257.56      0.16535E+06
       133200.   0.71640E-03   1.6500       422.78      0.10073E+06
       136800.   0.90032E-03   1.6500       531.33       80155.    
       140400.   0.15521E-02   1.6500       915.97       46496.    
       144000.   0.14410E-02   1.6500       850.42       50079.    
       147600.   0.13194E-02   1.6500       778.65       54695.    
       151200.   0.12056E-02   1.6500       711.49       59859.    
       154800.   0.10999E-02   1.6500       649.08       65614.    
       158400.   0.50517E-03   1.6500       298.13      0.14285E+06
       162000.  -0.15602E-02   1.6500       920.76       46254.    
       165600.  -0.10781E-02   1.6500       636.22       66940.    
       169200.   0.68399E-03   1.6500       403.66      0.10551E+06
       172800.   0.90454E-03   1.6500       533.81       79782.    
