   TOTIM (T)     FLOWRATE     DIAM.         RE           RT
         3600.  -0.21233E-02   1.6500       1253.1       33987.    
         7200.  -0.18177E-02   1.6500       1072.7       39702.    
        10800.  -0.18492E-02   1.6500       1091.3       39026.    
        14400.  -0.18721E-02   1.6500       1104.8       38547.    
        18000.  -0.18882E-02   1.6500       1114.3       38219.    
        21600.  -0.19007E-02   1.6500       1121.7       37969.    
        25200.  -0.19110E-02   1.6500       1127.8       37763.    
        28800.  -0.19197E-02   1.6500       1132.9       37592.    
        32400.  -0.19277E-02   1.6500       1137.6       37436.    
        36000.  -0.19351E-02   1.6500       1142.0       37294.    
        39600.  -0.19418E-02   1.6500       1146.0       37164.    
        43200.  -0.22530E-02   1.6500       1329.6       32031.    
        46800.  -0.22271E-02   1.6500       1314.3       32404.    
        50400.  -0.19046E-02   1.6500       1124.0       37890.    
        54000.  -0.22298E-02   1.6500       1315.9       32364.    
        57600.  -0.29736E-02   1.6500       1754.8       24269.    
        61200.  -0.51600E-02   1.6500       3045.2       13986.    
        64800.  -0.42460E-02   1.6500       2505.8       16996.    
        68400.  -0.39362E-02   1.6500       2322.9       18334.    
        72000.  -0.30813E-02   1.6500       1818.4       23421.    
        75600.  -0.24733E-02   1.6500       1459.6       29178.    
        79200.  -0.43479E-02   1.6500       2565.9       16598.    
        82800.  -0.41785E-02   1.6500       2466.0       17271.    
        86400.  -0.41934E-02   1.6500       2474.7       17209.    
        90000.  -0.57473E-02   1.6500       3391.8       12556.    
        93600.  -0.92764E-02   1.6500       5474.5       7779.5    
        97200.  -0.62373E-02   1.6500       3680.9       11570.    
       100800.  -0.26945E-02   1.6500       1590.1       26783.    
       104400.  -0.18324E-02   1.6500       1081.4       39383.    
       108000.  -0.19057E-02   1.6500       1124.6       37869.    
       111600.  -0.14378E-02   1.6500       848.51       50192.    
       115200.  -0.11246E-02   1.6500       663.66       64172.    
       118800.  -0.96430E-03   1.6500       569.08       74837.    
       122400.  -0.14022E-02   1.6500       827.51       51466.    
       126000.  -0.10138E-02   1.6500       598.32       71180.    
       129600.  -0.23327E-02   1.6500       1376.6       30937.    
       133200.  -0.15295E-02   1.6500       902.60       47184.    
       136800.  -0.14333E-02   1.6500       845.84       50351.    
       140400.  -0.10479E-02   1.6500       618.44       68865.    
       144000.  -0.11522E-02   1.6500       679.99       62631.    
       147600.  -0.12345E-02   1.6500       728.52       58459.    
       151200.  -0.12996E-02   1.6500       766.94       55531.    
       154800.  -0.13552E-02   1.6500       799.77       53251.    
       158400.  -0.17091E-02   1.6500       1008.6       42226.    
       162000.  -0.29373E-02   1.6500       1733.4       24569.    
       165600.  -0.25232E-02   1.6500       1489.0       28601.    
       169200.  -0.14187E-02   1.6500       837.25       50867.    
       172800.  -0.13595E-02   1.6500       802.33       53081.    
