   TOTIM (T)     FLOWRATE     DIAM.         RE           RT
         3600.  -0.44575E-03   1.6500       263.06      0.16190E+06
         7200.  -0.45664E-03   1.6500       269.49      0.15804E+06
        10800.  -0.45783E-03   1.6500       270.19      0.15763E+06
        14400.  -0.45784E-03   1.6500       270.20      0.15762E+06
        18000.  -0.45751E-03   1.6500       270.00      0.15774E+06
        21600.  -0.45706E-03   1.6500       269.73      0.15789E+06
        25200.  -0.45658E-03   1.6500       269.45      0.15806E+06
        28800.  -0.45609E-03   1.6500       269.16      0.15823E+06
        32400.  -0.45564E-03   1.6500       268.90      0.15838E+06
        36000.  -0.45523E-03   1.6500       268.65      0.15853E+06
        39600.  -0.45485E-03   1.6500       268.43      0.15866E+06
        43200.  -0.44361E-03   1.6500       261.79      0.16268E+06
        46800.  -0.44210E-03   1.6500       260.90      0.16323E+06
        50400.  -0.45273E-03   1.6500       267.18      0.15940E+06
        54000.  -0.44309E-03   1.6500       261.49      0.16287E+06
        57600.  -0.41478E-03   1.6500       244.78      0.17399E+06
        61200.  -0.32952E-03   1.6500       194.47      0.21900E+06
        64800.  -0.34245E-03   1.6500       202.10      0.21073E+06
        68400.  -0.35124E-03   1.6500       207.28      0.20546E+06
        72000.  -0.38320E-03   1.6500       226.14      0.18833E+06
        75600.  -0.41242E-03   1.6500       243.39      0.17498E+06
        79200.  -0.35326E-03   1.6500       208.48      0.20428E+06
        82800.  -0.34902E-03   1.6500       205.97      0.20677E+06
        86400.  -0.34503E-03   1.6500       203.62      0.20916E+06
        90000.  -0.28726E-03   1.6500       169.52      0.25122E+06
        93600.  -0.14725E-03   1.6500       86.899      0.49009E+06
        97200.  -0.22340E-03   1.6500       131.84      0.32303E+06
       100800.  -0.35862E-03   1.6500       211.64      0.20123E+06
       104400.  -0.42053E-03   1.6500       248.18      0.17161E+06
       108000.  -0.43940E-03   1.6500       259.31      0.16424E+06
       111600.  -0.46621E-03   1.6500       275.13      0.15479E+06
       115200.  -0.48592E-03   1.6500       286.76      0.14851E+06
       118800.  -0.49794E-03   1.6500       293.86      0.14493E+06
       122400.  -0.48607E-03   1.6500       286.86      0.14847E+06
       126000.  -0.49811E-03   1.6500       293.96      0.14488E+06
       129600.  -0.45222E-03   1.6500       266.88      0.15958E+06
       133200.  -0.47106E-03   1.6500       278.00      0.15320E+06
       136800.  -0.47541E-03   1.6500       280.56      0.15180E+06
       140400.  -0.48984E-03   1.6500       289.08      0.14733E+06
       144000.  -0.48880E-03   1.6500       288.46      0.14764E+06
       147600.  -0.48583E-03   1.6500       286.71      0.14854E+06
       151200.  -0.48235E-03   1.6500       284.66      0.14961E+06
       154800.  -0.47882E-03   1.6500       282.57      0.15072E+06
       158400.  -0.46449E-03   1.6500       274.12      0.15537E+06
       162000.  -0.41627E-03   1.6500       245.66      0.17336E+06
       165600.  -0.41936E-03   1.6500       247.49      0.17208E+06
       169200.  -0.45630E-03   1.6500       269.29      0.15815E+06
       172800.  -0.46526E-03   1.6500       274.57      0.15511E+06
