TOTIM (T)      HCON          HMAT      QDIR      QWELL        QMAT       QCADS      QTUB1      QTUB2      QTUB3      QTUB4      QTUB5      QTUB6       NSTOR        QFIX        QLH     FHLQ (LQ)        CAUCHY   CAUCHY (LQ)
     3600.   12.36574240   12.2815   0.000       0.000     -0.6318E-02   0.000     0.6318E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
     7200.   12.35219223   12.2734   0.000       0.000     -0.5913E-02   0.000     0.5913E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    10800.   12.34966142   12.2692   0.000       0.000     -0.6033E-02   0.000     0.6033E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    14400.   12.34849875   12.2672   0.000       0.000     -0.6099E-02   0.000     0.6099E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    18000.   12.34777081   12.2660   0.000       0.000     -0.6130E-02   0.000     0.6130E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    21600.   12.34723178   12.2653   0.000       0.000     -0.6147E-02   0.000     0.6147E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    25200.   12.34677888   12.2647   0.000       0.000     -0.6155E-02   0.000     0.6155E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    28800.   12.34639190   12.2643   0.000       0.000     -0.6158E-02   0.000     0.6158E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    32400.   12.34601358   12.2639   0.000       0.000     -0.6161E-02   0.000     0.6161E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    36000.   12.34563931   12.2635   0.000       0.000     -0.6162E-02   0.000     0.6162E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    39600.   12.34526753   12.2631   0.000       0.000     -0.6164E-02   0.000     0.6164E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    43200.   12.35848437   12.2709   0.000       0.000     -0.6567E-02   0.000     0.6567E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    46800.   12.36066794   12.2747   0.000       0.000     -0.6446E-02   0.000     0.6446E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    50400.   12.34787794   12.2681   0.000       0.000     -0.5980E-02   0.000     0.5980E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    54000.   12.35930069   12.2730   0.000       0.000     -0.6470E-02   0.000     0.6470E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    57600.   12.39494799   12.2964   0.000       0.000     -0.7394E-02   0.000     0.7394E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    61200.   12.50427380   12.3706   0.000       0.000     -0.1002E-01   0.000     0.1002E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    64800.   12.49951933   12.3912   0.000       0.000     -0.8126E-02   0.000     0.8126E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    68400.   12.49853607   12.3975   0.000       0.000     -0.7579E-02   0.000     0.7579E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    72000.   12.46779290   12.3812   0.000       0.000     -0.6494E-02   0.000     0.6494E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    75600.   12.43732485   12.3579   0.000       0.000     -0.5958E-02   0.000     0.5958E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    79200.   12.51410670   12.3978   0.000       0.000     -0.8726E-02   0.000     0.8726E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    82800.   12.52822840   12.4190   0.000       0.000     -0.8189E-02   0.000     0.8189E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    86400.   12.54231793   12.4347   0.000       0.000     -0.8073E-02   0.000     0.8073E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    90000.   12.62372946   12.4898   0.000       0.000     -0.1005E-01   0.000     0.1005E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    93600.   12.81305832   12.6232   0.000       0.000     -0.1424E-01   0.000     0.1424E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    97200.   12.74663387   12.6251   0.000       0.000     -0.9118E-02   0.000     0.9118E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   100800.   12.59893505   12.5367   0.000       0.000     -0.4669E-02   0.000     0.4669E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   104400.   12.52931258   12.4674   0.000       0.000     -0.4647E-02   0.000     0.4647E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   108000.   12.50736370   12.4326   0.000       0.000     -0.5609E-02   0.000     0.5609E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   111600.   12.47369213   12.4011   0.000       0.000     -0.5445E-02   0.000     0.5445E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   115200.   12.44620789   12.3743   0.000       0.000     -0.5395E-02   0.000     0.5395E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   118800.   12.42632298   12.3535   0.000       0.000     -0.5464E-02   0.000     0.5464E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   122400.   12.43497164   12.3519   0.000       0.000     -0.6227E-02   0.000     0.6227E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   126000.   12.41492999   12.3389   0.000       0.000     -0.5702E-02   0.000     0.5702E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   129600.   12.46578976   12.3656   0.000       0.000     -0.7512E-02   0.000     0.7512E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   133200.   12.44041133   12.3583   0.000       0.000     -0.6157E-02   0.000     0.6157E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   136800.   12.43114302   12.3503   0.000       0.000     -0.6064E-02   0.000     0.6064E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   140400.   12.40884948   12.3340   0.000       0.000     -0.5612E-02   0.000     0.5612E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   144000.   12.40438761   12.3261   0.000       0.000     -0.5874E-02   0.000     0.5874E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   147600.   12.40241249   12.3222   0.000       0.000     -0.6018E-02   0.000     0.6018E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   151200.   12.40134090   12.3201   0.000       0.000     -0.6091E-02   0.000     0.6091E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   154800.   12.40064358   12.3189   0.000       0.000     -0.6133E-02   0.000     0.6133E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   158400.   12.41372699   12.3263   0.000       0.000     -0.6559E-02   0.000     0.6559E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   162000.   12.47041054   12.3631   0.000       0.000     -0.8046E-02   0.000     0.8046E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   165600.   12.46783246   12.3731   0.000       0.000     -0.7108E-02   0.000     0.7108E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   169200.   12.42272608   12.3488   0.000       0.000     -0.5545E-02   0.000     0.5545E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   172800.   12.40888271   12.3328   0.000       0.000     -0.5705E-02   0.000     0.5705E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
