TOTIM (T)      HCON          HMAT      QDIR      QWELL        QMAT       QCADS      QTUB1      QTUB2      QTUB3      QTUB4      QTUB5      QTUB6       NSTOR        QFIX        QLH     FHLQ (LQ)        CAUCHY   CAUCHY (LQ)
    86400.   42.65643590   14.1761  0.2478E-04   0.000       0.000       0.000      0.000      0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   103680.   42.65643590   14.2292  0.1228E-06   0.000       0.000       0.000      0.000      0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   120960.   42.65643590   14.1912  0.1228E-06   0.000       0.000       0.000      0.000      0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   138240.   42.65643590   14.1366  0.1228E-06   0.000       0.000       0.000      0.000      0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   155520.   42.65643590   14.0770  0.1228E-06   0.000       0.000       0.000      0.000      0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   172800.   42.65643590   14.0154  0.1228E-06   0.000       0.000       0.000      0.000      0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   190080.   42.65643590   13.9773  0.8350E-05   0.000       0.000       0.000      0.000      0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   207360.   42.65643590   13.9402  0.8350E-05   0.000       0.000       0.000      0.000      0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   224640.   42.65643590   13.9031  0.8350E-05   0.000       0.000       0.000      0.000      0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   241920.   42.65643590   13.8661  0.8350E-05   0.000       0.000       0.000      0.000      0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
