   TOTIM (T)     FLOWRATE     DIAM.         RE           RT
        86400.   0.10232E-02  0.62713       1588.8       7557.6    
       103680.   0.32124E-03  0.62713       498.79       24074.    
       120960.   0.31747E-03  0.62713       492.93       24359.    
       138240.   0.31299E-03  0.62713       485.99       24708.    
       155520.   0.30820E-03  0.62713       478.55       25091.    
       172800.   0.30330E-03  0.62713       470.93       25497.    
       190080.   0.30863E-03  0.62713       479.22       25057.    
       207360.   0.30573E-03  0.62713       474.71       25295.    
       224640.   0.30283E-03  0.62713       470.20       25537.    
       241920.   0.29994E-03  0.62713       465.72       25783.    
       259200.   0.29707E-03  0.62713       461.27       26032.    
       276480.   0.29702E-03  0.62713       461.19       26036.    
       293760.   0.29477E-03  0.62713       457.70       26235.    
       311040.   0.29256E-03  0.62713       454.25       26434.    
       328320.   0.29037E-03  0.62713       450.86       26632.    
       345600.   0.28822E-03  0.62713       447.53       26831.    
       362880.   0.29909E-03  0.62713       464.39       25856.    
       380160.   0.29957E-03  0.62713       465.15       25814.    
       397440.   0.30006E-03  0.62713       465.90       25773.    
       414720.   0.30054E-03  0.62713       466.65       25731.    
       432000.   0.30102E-03  0.62713       467.40       25690.    
       449280.   0.31136E-03  0.62713       483.45       24837.    
       466560.   0.31378E-03  0.62713       487.20       24646.    
       483840.   0.31616E-03  0.62713       490.90       24460.    
       501120.   0.31850E-03  0.62713       494.54       24280.    
       518400.   0.32081E-03  0.62713       498.12       24106.    
       535680.   0.31544E-03  0.62713       489.78       24516.    
       552960.   0.31615E-03  0.62713       490.89       24461.    
       570240.   0.31685E-03  0.62713       491.97       24407.    
       587520.   0.31753E-03  0.62713       493.03       24355.    
       604800.   0.31819E-03  0.62713       494.05       24304.    
       622080.   0.32154E-03  0.62713       499.25       24051.    
       639360.   0.32270E-03  0.62713       501.06       23964.    
       656640.   0.32384E-03  0.62713       502.83       23880.    
       673920.   0.32495E-03  0.62713       504.56       23798.    
       691200.   0.32605E-03  0.62713       506.25       23718.    
       708480.   0.35366E-03  0.62713       549.13       21867.    
       725760.   0.35996E-03  0.62713       558.91       21484.    
       743040.   0.36615E-03  0.62713       568.53       21120.    
       760320.   0.37225E-03  0.62713       578.00       20774.    
       777600.   0.37824E-03  0.62713       587.30       20445.    
       794880.   0.40783E-03  0.62713       633.24       18962.    
       812160.   0.41830E-03  0.62713       649.50       18487.    
       829440.   0.42860E-03  0.62713       665.49       18043.    
       846720.   0.43872E-03  0.62713       681.21       17627.    
       864000.   0.44866E-03  0.62713       696.64       17236.    
       881280.   0.43745E-03  0.62713       679.24       17678.    
       898560.   0.44286E-03  0.62713       687.63       17462.    
       915840.   0.44815E-03  0.62713       695.84       17256.    
       933120.   0.45331E-03  0.62713       703.86       17060.    
       950400.   0.45837E-03  0.62713       711.71       16872.    
       967680.   0.49107E-03  0.62713       762.49       15748.    
       984960.   0.50142E-03  0.62713       778.56       15423.    
      1002240.   0.51158E-03  0.62713       794.34       15116.    
      1019520.   0.52156E-03  0.62713       809.82       14827.    
      1036800.   0.53134E-03  0.62713       825.01       14554.    
      1054080.   0.58095E-03  0.62713       902.05       13311.    
      1071360.   0.59832E-03  0.62713       929.02       12925.    
      1088640.   0.61538E-03  0.62713       955.51       12567.    
      1105920.   0.63213E-03  0.62713       981.52       12234.    
      1123200.   0.64857E-03  0.62713       1007.0       11924.    
      1140480.   0.59180E-03  0.62713       918.89       13067.    
      1157760.   0.59307E-03  0.62713       920.86       13040.    
      1175040.   0.59425E-03  0.62713       922.70       13014.    
      1192320.   0.59536E-03  0.62713       924.42       12989.    
      1209600.   0.59641E-03  0.62713       926.06       12966.    
      1226880.   0.57057E-03  0.62713       885.92       13554.    
      1244160.   0.56618E-03  0.62713       879.11       13659.    
      1261440.   0.56184E-03  0.62713       872.37       13764.    
      1278720.   0.55757E-03  0.62713       865.73       13870.    
      1296000.   0.55336E-03  0.62713       859.20       13975.    
      1313280.   0.54070E-03  0.62713       839.55       14302.    
      1330560.   0.53495E-03  0.62713       830.62       14456.    
      1347840.   0.52930E-03  0.62713       821.85       14610.    
      1365120.   0.52376E-03  0.62713       813.25       14765.    
      1382400.   0.51834E-03  0.62713       804.82       14920.    
      1399680.   0.50761E-03  0.62713       788.17       15235.    
      1416960.   0.50133E-03  0.62713       778.42       15426.    
      1434240.   0.49518E-03  0.62713       768.87       15617.    
      1451520.   0.48916E-03  0.62713       759.52       15809.    
      1468800.   0.48326E-03  0.62713       750.37       16002.    
      1486080.   0.47329E-03  0.62713       734.88       16339.    
      1503360.   0.46681E-03  0.62713       724.82       16566.    
      1520640.   0.46047E-03  0.62713       714.97       16794.    
      1537920.   0.45426E-03  0.62713       705.33       17024.    
      1555200.   0.44818E-03  0.62713       695.90       17255.    
      1572480.   0.43942E-03  0.62713       682.30       17599.    
      1589760.   0.43305E-03  0.62713       672.40       17858.    
      1607040.   0.42681E-03  0.62713       662.70       18119.    
      1624320.   0.42069E-03  0.62713       653.22       18382.    
      1641600.   0.41471E-03  0.62713       643.93       18647.    
      1658880.   0.40817E-03  0.62713       633.76       18946.    
      1676160.   0.40230E-03  0.62713       624.65       19223.    
      1693440.   0.39655E-03  0.62713       615.73       19501.    
      1710720.   0.39093E-03  0.62713       607.00       19782.    
      1728000.   0.38543E-03  0.62713       598.45       20064.    
      1745280.   0.38064E-03  0.62713       591.03       20316.    
      1762560.   0.37549E-03  0.62713       583.02       20595.    
      1779840.   0.37044E-03  0.62713       575.18       20876.    
      1797120.   0.36550E-03  0.62713       567.51       21158.    
      1814400.   0.36066E-03  0.62713       559.99       21442.    
      1831680.   0.35448E-03  0.62713       550.40       21816.    
      1848960.   0.34955E-03  0.62713       542.75       22124.    
      1866240.   0.34472E-03  0.62713       535.25       22433.    
      1883520.   0.33999E-03  0.62713       527.91       22745.    
      1900800.   0.33536E-03  0.62713       520.72       23060.    
      1918080.   0.32978E-03  0.62713       512.06       23450.    
      1935360.   0.32513E-03  0.62713       504.83       23785.    
      1952640.   0.32057E-03  0.62713       497.75       24124.    
      1969920.   0.31610E-03  0.62713       490.81       24465.    
      1987200.   0.31172E-03  0.62713       484.00       24809.    
      2004480.   0.30791E-03  0.62713       478.09       25116.    
      2021760.   0.30379E-03  0.62713       471.70       25456.    
      2039040.   0.29976E-03  0.62713       465.43       25799.    
      2056320.   0.29580E-03  0.62713       459.29       26144.    
      2073600.   0.29192E-03  0.62713       453.27       26491.    
      2090880.   0.28700E-03  0.62713       445.63       26945.    
      2108160.   0.28306E-03  0.62713       439.50       27321.    
      2125440.   0.27918E-03  0.62713       433.49       27700.    
      2142720.   0.27538E-03  0.62713       427.59       28082.    
      2160000.   0.27165E-03  0.62713       421.80       28468.    
      2177280.   0.26721E-03  0.62713       414.90       28941.    
      2194560.   0.26347E-03  0.62713       409.09       29352.    
      2211840.   0.25980E-03  0.62713       403.39       29767.    
      2229120.   0.25619E-03  0.62713       397.79       30185.    
      2246400.   0.25266E-03  0.62713       392.30       30608.    
      2263680.   0.24839E-03  0.62713       385.68       31134.    
      2280960.   0.24483E-03  0.62713       380.15       31587.    
      2298240.   0.24133E-03  0.62713       374.72       32044.    
      2315520.   0.23790E-03  0.62713       369.39       32507.    
      2332800.   0.23453E-03  0.62713       364.15       32974.    
      2350080.   0.23070E-03  0.62713       358.20       33522.    
      2367360.   0.22735E-03  0.62713       353.00       34016.    
      2384640.   0.22406E-03  0.62713       347.90       34515.    
      2401920.   0.22083E-03  0.62713       342.88       35020.    
      2419200.   0.21766E-03  0.62713       337.96       35530.    
      2436480.   0.21899E-03  0.62713       340.02       35314.    
      2453760.   0.21681E-03  0.62713       336.64       35669.    
      2471040.   0.21467E-03  0.62713       333.32       36024.    
      2488320.   0.21257E-03  0.62713       330.06       36380.    
      2505600.   0.21051E-03  0.62713       326.87       36735.    
      2522880.   0.20833E-03  0.62713       323.48       37120.    
      2540160.   0.20632E-03  0.62713       320.35       37482.    
      2557440.   0.20434E-03  0.62713       317.28       37845.    
      2574720.   0.20240E-03  0.62713       314.27       38208.    
      2592000.   0.20049E-03  0.62713       311.31       38572.    
      2609280.   0.21604E-03  0.62713       335.45       35795.    
      2626560.   0.21763E-03  0.62713       337.92       35533.    
      2643840.   0.21921E-03  0.62713       340.37       35278.    
      2661120.   0.22076E-03  0.62713       342.78       35030.    
      2678400.   0.22229E-03  0.62713       345.16       34789.    
      2695680.   0.27184E-03  0.62713       422.09       28448.    
      2712960.   0.28280E-03  0.62713       439.10       27346.    
      2730240.   0.29360E-03  0.62713       455.87       26340.    
      2747520.   0.30423E-03  0.62713       472.39       25419.    
      2764800.   0.31470E-03  0.62713       488.64       24573.    
      2782080.   0.39353E-03  0.62713       611.03       19651.    
      2799360.   0.41721E-03  0.62713       647.80       18536.    
      2816640.   0.44053E-03  0.62713       684.01       17555.    
      2833920.   0.46348E-03  0.62713       719.64       16685.    
      2851200.   0.48604E-03  0.62713       754.68       15911.    
      2868480.   0.40031E-03  0.62713       621.56       19318.    
      2885760.   0.40064E-03  0.62713       622.08       19302.    
      2903040.   0.40088E-03  0.62713       622.44       19291.    
      2920320.   0.40103E-03  0.62713       622.68       19284.    
      2937600.   0.40111E-03  0.62713       622.81       19280.    
      2954880.   0.40816E-03  0.62713       633.76       18947.    
      2972160.   0.40954E-03  0.62713       635.90       18883.    
      2989440.   0.41086E-03  0.62713       637.95       18822.    
      3006720.   0.41213E-03  0.62713       639.92       18764.    
      3024000.   0.41335E-03  0.62713       641.81       18709.    
      3041280.   0.43166E-03  0.62713       670.25       17915.    
      3058560.   0.43620E-03  0.62713       677.29       17729.    
      3075840.   0.44065E-03  0.62713       684.20       17550.    
      3093120.   0.44501E-03  0.62713       690.98       17378.    
      3110400.   0.44929E-03  0.62713       697.62       17212.    
