   TOTIM (T)     FLOWRATE     DIAM.         RE           RT
           10.  -0.40508E-01  0.10000       6.6840       1.9389    
           20.  -0.40508E-01  0.10000       6.6840       1.9389    
           30.  -0.40508E-01  0.10000       6.6840       1.9389    
           40.  -0.40508E-01  0.10000       6.6840       1.9389    
           50.  -0.40508E-01  0.10000       6.6840       1.9389    
           60.  -0.40508E-01  0.10000       6.6840       1.9389    
           70.  -0.40508E-01  0.10000       6.6840       1.9389    
           80.  -0.40508E-01  0.10000       6.6840       1.9389    
           90.  -0.40508E-01  0.10000       6.6840       1.9389    
          100.  -0.40508E-01  0.10000       6.6840       1.9389    
          110.  -0.13513E-01  0.10000       2.2296       5.8123    
          120.  -0.13513E-01  0.10000       2.2296       5.8123    
          130.  -0.13513E-01  0.10000       2.2296       5.8123    
          140.  -0.13513E-01  0.10000       2.2296       5.8123    
          150.  -0.13513E-01  0.10000       2.2296       5.8123    
          160.  -0.13513E-01  0.10000       2.2296       5.8123    
          170.  -0.13513E-01  0.10000       2.2296       5.8123    
          180.  -0.13513E-01  0.10000       2.2296       5.8123    
          190.  -0.13513E-01  0.10000       2.2296       5.8123    
          200.  -0.13513E-01  0.10000       2.2296       5.8123    
          210.  -0.27015E-01  0.10000       4.4575       2.9073    
          220.  -0.27015E-01  0.10000       4.4575       2.9073    
          230.  -0.27015E-01  0.10000       4.4575       2.9073    
          240.  -0.27015E-01  0.10000       4.4575       2.9073    
          250.  -0.27015E-01  0.10000       4.4575       2.9073    
          260.  -0.27015E-01  0.10000       4.4575       2.9073    
          270.  -0.27015E-01  0.10000       4.4575       2.9073    
          280.  -0.27015E-01  0.10000       4.4575       2.9073    
          290.  -0.27015E-01  0.10000       4.4575       2.9073    
          300.  -0.27015E-01  0.10000       4.4575       2.9073    
          310.  -0.40508E-01  0.10000       6.6840       1.9389    
          320.  -0.40508E-01  0.10000       6.6840       1.9389    
          330.  -0.40508E-01  0.10000       6.6840       1.9389    
          340.  -0.40508E-01  0.10000       6.6840       1.9389    
          350.  -0.40508E-01  0.10000       6.6840       1.9389    
          360.  -0.40508E-01  0.10000       6.6840       1.9389    
          370.  -0.40508E-01  0.10000       6.6840       1.9389    
          380.  -0.40508E-01  0.10000       6.6840       1.9389    
          390.  -0.40508E-01  0.10000       6.6840       1.9389    
          400.  -0.40508E-01  0.10000       6.6840       1.9389    
          410.  -0.27015E-01  0.10000       4.4576       2.9073    
          420.  -0.27015E-01  0.10000       4.4576       2.9073    
          430.  -0.27015E-01  0.10000       4.4576       2.9073    
          440.  -0.27015E-01  0.10000       4.4576       2.9073    
          450.  -0.27015E-01  0.10000       4.4575       2.9073    
          460.  -0.27015E-01  0.10000       4.4575       2.9073    
          470.  -0.27015E-01  0.10000       4.4575       2.9073    
          480.  -0.27015E-01  0.10000       4.4575       2.9073    
          490.  -0.27015E-01  0.10000       4.4575       2.9073    
          500.  -0.27015E-01  0.10000       4.4575       2.9073    
