TOTIM (T)      HCON          HMAT      QDIR      QWELL        QMAT       QCADS      QTUB1      QTUB2      QTUB3      QTUB4      QTUB5      QTUB6       NSTOR        QFIX        QLH     FHLQ (LQ)        CAUCHY   CAUCHY (LQ)
       10.   20.00000070   20.0003   0.000       0.000      0.2105E-01   0.000    -0.2105E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
       20.   20.00000070   20.0003   0.000       0.000      0.2105E-01   0.000    -0.2105E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
       30.   20.00000070   20.0003   0.000       0.000      0.2105E-01   0.000    -0.2105E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
       40.   20.00000070   20.0003   0.000       0.000      0.2105E-01   0.000    -0.2105E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
       50.   20.00000070   20.0003   0.000       0.000      0.2105E-01   0.000    -0.2105E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
       60.   20.00000070   20.0003   0.000       0.000      0.2105E-01   0.000    -0.2105E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
       70.   20.00000070   20.0003   0.000       0.000      0.2105E-01   0.000    -0.2105E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
       80.   20.00000070   20.0003   0.000       0.000      0.2105E-01   0.000    -0.2105E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
       90.   20.00000070   20.0003   0.000       0.000      0.2105E-01   0.000    -0.2105E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
      100.   20.00000070   20.0003   0.000       0.000      0.2105E-01   0.000    -0.2105E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
      110.   20.00000015   20.0001   0.000       0.000      0.7024E-02   0.000    -0.7024E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
      120.   20.00000015   20.0001   0.000       0.000      0.7024E-02   0.000    -0.7024E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
      130.   20.00000015   20.0001   0.000       0.000      0.7024E-02   0.000    -0.7024E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
      140.   20.00000015   20.0001   0.000       0.000      0.7024E-02   0.000    -0.7024E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
      150.   20.00000015   20.0001   0.000       0.000      0.7024E-02   0.000    -0.7024E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
      160.   20.00000015   20.0001   0.000       0.000      0.7024E-02   0.000    -0.7024E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
      170.   20.00000015   20.0001   0.000       0.000      0.7024E-02   0.000    -0.7024E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
      180.   20.00000015   20.0001   0.000       0.000      0.7024E-02   0.000    -0.7024E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
      190.   20.00000015   20.0001   0.000       0.000      0.7024E-02   0.000    -0.7024E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
