   TOTIM (T)     FLOWRATE     DIAM.         RE           RT
         3600.  -0.14742E-02   1.4500       989.98       39765.    
         7200.  -0.10566E-02   1.4500       709.57       55480.    
        10800.  -0.10515E-02   1.4500       706.10       55753.    
        14400.  -0.10650E-02   1.4500       715.17       55046.    
        18000.  -0.10768E-02   1.4500       723.15       54438.    
        21600.  -0.10866E-02   1.4500       729.68       53951.    
        25200.  -0.10945E-02   1.4500       734.99       53561.    
        28800.  -0.11015E-02   1.4500       739.73       53218.    
        32400.  -0.11075E-02   1.4500       743.77       52929.    
        36000.  -0.11133E-02   1.4500       747.63       52656.    
        39600.  -0.11187E-02   1.4500       751.24       52403.    
        43200.  -0.15407E-02   1.4500       1034.6       38049.    
        46800.  -0.15505E-02   1.4500       1041.2       37808.    
        50400.  -0.11245E-02   1.4500       755.14       52132.    
        54000.  -0.15287E-02   1.4500       1026.6       38347.    
        57600.  -0.25826E-02   1.4500       1734.3       22698.    
        61200.  -0.57104E-02   1.4500       3834.8       10266.    
        64800.  -0.48760E-02   1.4500       3274.5       12022.    
        68400.  -0.45204E-02   1.4500       3035.7       12968.    
        72000.  -0.33887E-02   1.4500       2275.7       17299.    
        75600.  -0.24796E-02   1.4500       1665.2       23641.    
        79200.  -0.49472E-02   1.4500       3322.3       11849.    
        82800.  -0.49860E-02   1.4500       3348.3       11757.    
        86400.  -0.51145E-02   1.4500       3434.6       11462.    
        90000.  -0.73333E-02   1.4500       4924.7       7993.8    
        93600.  -0.12494E-01   1.4500       8390.2       4692.0    
        97200.  -0.90908E-02   1.4500       6104.9       6448.4    
       100800.  -0.41773E-02   1.4500       2805.3       14033.    
       104400.  -0.25227E-02   1.4500       1694.1       23238.    
       108000.  -0.23304E-02   1.4500       1565.0       25155.    
       111600.  -0.15656E-02   1.4500       1051.4       37442.    
       115200.  -0.98451E-03   1.4500       661.14       59544.    
       118800.  -0.62142E-03   1.4500       417.31       94334.    
       122400.  -0.10958E-02   1.4500       735.89       53496.    
       126000.  -0.53678E-03   1.4500       360.47      0.10921E+06
       129600.  -0.22265E-02   1.4500       1495.2       26329.    
       133200.  -0.12490E-02   1.4500       838.75       46935.    
       136800.  -0.10087E-02   1.4500       677.38       58117.    
       140400.  -0.39806E-03   1.4500       267.32      0.14727E+06
       144000.  -0.41249E-03   1.4500       277.01      0.14212E+06
       147600.  -0.45189E-03   1.4500       303.46      0.12972E+06
       151200.  -0.48503E-03   1.4500       325.72      0.12086E+06
       154800.  -0.51299E-03   1.4500       344.50      0.11427E+06
       158400.  -0.95382E-03   1.4500       640.54       61459.    
       162000.  -0.26449E-02   1.4500       1776.2       22164.    
       165600.  -0.22544E-02   1.4500       1514.0       26003.    
       169200.  -0.74250E-03   1.4500       498.63       78951.    
       172800.  -0.49039E-03   1.4500       329.32      0.11954E+06
