   TOTIM (T)     FLOWRATE     DIAM.         RE           RT
         3600.  -0.26651E-02   1.4500       1789.7       21996.    
         7200.  -0.23294E-02   1.4500       1564.3       25165.    
        10800.  -0.23547E-02   1.4500       1581.3       24896.    
        14400.  -0.23862E-02   1.4500       1602.4       24567.    
        18000.  -0.24094E-02   1.4500       1618.0       24331.    
        21600.  -0.24259E-02   1.4500       1629.1       24164.    
        25200.  -0.24376E-02   1.4500       1637.0       24049.    
        28800.  -0.24465E-02   1.4500       1642.9       23961.    
        32400.  -0.24529E-02   1.4500       1647.2       23899.    
        36000.  -0.24582E-02   1.4500       1650.8       23847.    
        39600.  -0.24627E-02   1.4500       1653.8       23804.    
        43200.  -0.28011E-02   1.4500       1881.1       20928.    
        46800.  -0.27788E-02   1.4500       1866.1       21096.    
        50400.  -0.24152E-02   1.4500       1621.9       24272.    
        54000.  -0.27544E-02   1.4500       1849.7       21282.    
        57600.  -0.35803E-02   1.4500       2404.4       16373.    
        61200.  -0.59973E-02   1.4500       4027.5       9774.5    
        64800.  -0.50425E-02   1.4500       3386.3       11625.    
        68400.  -0.46174E-02   1.4500       3100.8       12696.    
        72000.  -0.36376E-02   1.4500       2442.9       16115.    
        75600.  -0.29395E-02   1.4500       1974.0       19942.    
        79200.  -0.50033E-02   1.4500       3360.0       11716.    
        82800.  -0.49179E-02   1.4500       3302.6       11920.    
        86400.  -0.49369E-02   1.4500       3315.3       11874.    
        90000.  -0.66469E-02   1.4500       4463.7       8819.4    
        93600.  -0.10576E-01   1.4500       7102.0       5543.1    
        97200.  -0.73367E-02   1.4500       4926.9       7990.2    
       100800.  -0.32854E-02   1.4500       2206.3       17843.    
       104400.  -0.22317E-02   1.4500       1498.7       26267.    
       108000.  -0.23862E-02   1.4500       1602.4       24567.    
       111600.  -0.20029E-02   1.4500       1345.1       29268.    
       115200.  -0.17529E-02   1.4500       1177.2       33442.    
       118800.  -0.16549E-02   1.4500       1111.3       35423.    
       122400.  -0.21964E-02   1.4500       1475.0       26690.    
       126000.  -0.18278E-02   1.4500       1227.5       32072.    
       129600.  -0.32783E-02   1.4500       2201.6       17881.    
       133200.  -0.24413E-02   1.4500       1639.5       24012.    
       136800.  -0.22823E-02   1.4500       1532.7       25685.    
       140400.  -0.18343E-02   1.4500       1231.8       31958.    
       144000.  -0.19189E-02   1.4500       1288.6       30549.    
       147600.  -0.20010E-02   1.4500       1343.8       29296.    
       151200.  -0.20604E-02   1.4500       1383.6       28452.    
       154800.  -0.21038E-02   1.4500       1412.8       27865.    
       158400.  -0.24705E-02   1.4500       1659.1       23729.    
       162000.  -0.38034E-02   1.4500       2554.1       15413.    
       165600.  -0.33541E-02   1.4500       2252.4       17478.    
       169200.  -0.20750E-02   1.4500       1393.5       28251.    
       172800.  -0.19344E-02   1.4500       1299.0       30305.    
