   TOTIM (T)     FLOWRATE     DIAM.         RE           RT
        86400.   0.57208E-01   1.0000       55706.       686.44    
       172800.   0.56703E-01   1.0000       55214.       692.56    
       259200.   0.56649E-01   1.0000       55161.       693.22    
       345600.   0.56570E-01   1.0000       55084.       694.19    
       432000.   0.56887E-01   1.0000       55394.       690.31    
       518400.   0.57113E-01   1.0000       55613.       687.58    
       604800.   0.57208E-01   1.0000       55706.       686.44    
       691200.   0.57747E-01   1.0000       56231.       680.03    
       777600.   0.59160E-01   1.0000       57606.       663.80    
       864000.   0.61254E-01   1.0000       59646.       641.09    
       950400.   0.62438E-01   1.0000       60799.       628.94    
      1036800.   0.64605E-01   1.0000       62909.       607.84    
      1123200.   0.68119E-01   1.0000       66330.       576.49    
      1209600.   0.68507E-01   1.0000       66708.       573.23    
      1296000.   0.68417E-01   1.0000       66621.       573.98    
      1382400.   0.68075E-01   1.0000       66288.       576.86    
      1468800.   0.67644E-01   1.0000       65868.       580.54    
      1555200.   0.67113E-01   1.0000       65351.       585.13    
      1641600.   0.66526E-01   1.0000       64779.       590.30    
      1728000.   0.65983E-01   1.0000       64251.       595.15    
      1814400.   0.65491E-01   1.0000       63772.       599.62    
      1900800.   0.64932E-01   1.0000       63227.       604.79    
      1987200.   0.64414E-01   1.0000       62723.       609.64    
      2073600.   0.63953E-01   1.0000       62274.       614.04    
      2160000.   0.63439E-01   1.0000       61774.       619.02    
      2246400.   0.62927E-01   1.0000       61274.       624.06    
      2332800.   0.62402E-01   1.0000       60763.       629.31    
      2419200.   0.61892E-01   1.0000       60267.       634.49    
      2505600.   0.61587E-01   1.0000       59970.       637.63    
      2592000.   0.61243E-01   1.0000       59635.       641.22    
      2678400.   0.61646E-01   1.0000       60028.       637.02    
      2764800.   0.63525E-01   1.0000       61857.       618.18    
      2851200.   0.67955E-01   1.0000       66171.       577.88    
      2937600.   0.68057E-01   1.0000       66271.       577.01    
      3024000.   0.68515E-01   1.0000       66717.       573.15    
      3110400.   0.68729E-01   1.0000       66925.       571.37    
      3196800.   0.68581E-01   1.0000       66780.       572.61    
      3283200.   0.68236E-01   1.0000       66444.       575.50    
