   TOTIM (T)     FLOWRATE     DIAM.         RE           RT
        86400.  -0.52089E-04   1.0000       50.722      0.75389E+06
       172800.  -0.52019E-04   1.0000       50.653      0.75491E+06
       259200.  -0.51995E-04   1.0000       50.630      0.75527E+06
       345600.  -0.51968E-04   1.0000       50.604      0.75566E+06
       432000.  -0.51993E-04   1.0000       50.628      0.75530E+06
       518400.  -0.52016E-04   1.0000       50.651      0.75495E+06
       604800.  -0.52028E-04   1.0000       50.662      0.75478E+06
       691200.  -0.52106E-04   1.0000       50.738      0.75366E+06
       777600.  -0.52330E-04   1.0000       50.956      0.75042E+06
       864000.  -0.52706E-04   1.0000       51.322      0.74507E+06
       950400.  -0.53014E-04   1.0000       51.622      0.74075E+06
      1036800.  -0.53513E-04   1.0000       52.108      0.73384E+06
      1123200.  -0.54324E-04   1.0000       52.898      0.72288E+06
      1209600.  -0.54704E-04   1.0000       53.268      0.71786E+06
      1296000.  -0.54991E-04   1.0000       53.547      0.71412E+06
      1382400.  -0.55233E-04   1.0000       53.783      0.71098E+06
      1468800.  -0.55432E-04   1.0000       53.977      0.70843E+06
      1555200.  -0.55577E-04   1.0000       54.117      0.70659E+06
      1641600.  -0.55667E-04   1.0000       54.206      0.70544E+06
      1728000.  -0.55719E-04   1.0000       54.256      0.70478E+06
      1814400.  -0.55735E-04   1.0000       54.272      0.70458E+06
      1900800.  -0.55704E-04   1.0000       54.242      0.70497E+06
      1987200.  -0.55642E-04   1.0000       54.181      0.70577E+06
      2073600.  -0.55558E-04   1.0000       54.100      0.70682E+06
      2160000.  -0.55442E-04   1.0000       53.987      0.70830E+06
      2246400.  -0.55302E-04   1.0000       53.850      0.71010E+06
      2332800.  -0.55142E-04   1.0000       53.694      0.71216E+06
      2419200.  -0.54965E-04   1.0000       53.522      0.71445E+06
      2505600.  -0.54806E-04   1.0000       53.368      0.71652E+06
      2592000.  -0.54634E-04   1.0000       53.199      0.71879E+06
      2678400.  -0.54568E-04   1.0000       53.135      0.71965E+06
      2764800.  -0.54754E-04   1.0000       53.317      0.71720E+06
      2851200.  -0.55445E-04   1.0000       53.989      0.70827E+06
      2937600.  -0.55539E-04   1.0000       54.081      0.70707E+06
      3024000.  -0.55688E-04   1.0000       54.225      0.70518E+06
      3110400.  -0.55835E-04   1.0000       54.369      0.70332E+06
      3196800.  -0.55931E-04   1.0000       54.462      0.70211E+06
      3283200.  -0.55979E-04   1.0000       54.510      0.70151E+06
      3369600.  -0.56073E-04   1.0000       54.601      0.70034E+06
      3456000.  -0.56205E-04   1.0000       54.729      0.69869E+06
      3542400.  -0.56370E-04   1.0000       54.890      0.69664E+06
      3628800.  -0.56491E-04   1.0000       55.008      0.69515E+06
      3715200.  -0.56526E-04   1.0000       55.042      0.69472E+06
      3801600.  -0.56588E-04   1.0000       55.102      0.69397E+06
      3888000.  -0.56679E-04   1.0000       55.191      0.69284E+06
      3974400.  -0.56834E-04   1.0000       55.342      0.69096E+06
