   TOTIM (T)     FLOWRATE     DIAM.         RE           RT
        86400.  -0.27403E-01   1.0000       39261.       1433.0    
       172800.  -0.26866E-01   1.0000       38841.       1461.7    
       259200.  -0.26971E-01   1.0000       38937.       1456.0    
       345600.  -0.26962E-01   1.0000       38930.       1456.5    
       432000.  -0.27352E-01   1.0000       39235.       1435.7    
       518400.  -0.27518E-01   1.0000       39354.       1427.1    
       604800.  -0.27525E-01   1.0000       39354.       1426.7    
       691200.  -0.28038E-01   1.0000       39738.       1400.6    
       777600.  -0.29410E-01   1.0000       40706.       1335.3    
       864000.  -0.31268E-01   1.0000       41864.       1255.9    
       950400.  -0.31693E-01   1.0000       42064.       1239.1    
      1036800.  -0.33591E-01   1.0000       43042.       1169.1    
      1123200.  -0.37060E-01   1.0000       44128.       1059.6    
      1209600.  -0.35410E-01   1.0000       43624.       1109.0    
      1296000.  -0.34341E-01   1.0000       43263.       1143.5    
      1382400.  -0.33554E-01   1.0000       42945.       1170.3    
      1468800.  -0.32927E-01   1.0000       42669.       1192.6    
      1555200.  -0.32342E-01   1.0000       42395.       1214.2    
      1641600.  -0.31811E-01   1.0000       42136.       1234.5    
      1728000.  -0.31419E-01   1.0000       41944.       1249.9    
      1814400.  -0.31100E-01   1.0000       41783.       1262.7    
      1900800.  -0.30717E-01   1.0000       41575.       1278.5    
      1987200.  -0.30391E-01   1.0000       41394.       1292.2    
      2073600.  -0.30157E-01   1.0000       41267.       1302.2    
      2160000.  -0.29839E-01   1.0000       41077.       1316.1    
      2246400.  -0.29535E-01   1.0000       40890.       1329.6    
      2332800.  -0.29246E-01   1.0000       40711.       1342.8    
      2419200.  -0.28969E-01   1.0000       40532.       1355.6    
      2505600.  -0.28946E-01   1.0000       40536.       1356.7    
      2592000.  -0.28778E-01   1.0000       40424.       1364.6    
      2678400.  -0.29493E-01   1.0000       40945.       1331.5    
      2764800.  -0.31742E-01   1.0000       42388.       1237.1    
      2851200.  -0.36821E-01   1.0000       44522.       1066.5    
      2937600.  -0.34573E-01   1.0000       43638.       1135.8    
      3024000.  -0.34407E-01   1.0000       43608.       1141.3    
      3110400.  -0.34184E-01   1.0000       43507.       1148.8    
      3196800.  -0.33662E-01   1.0000       43276.       1166.6    
      3283200.  -0.33086E-01   1.0000       43007.       1186.9    
      3369600.  -0.33233E-01   1.0000       43114.       1181.7    
      3456000.  -0.33664E-01   1.0000       43350.       1166.5    
      3542400.  -0.34246E-01   1.0000       43630.       1146.7    
      3628800.  -0.34312E-01   1.0000       43662.       1144.5    
      3715200.  -0.33819E-01   1.0000       43442.       1161.2    
      3801600.  -0.33919E-01   1.0000       43516.       1157.8    
      3888000.  -0.34259E-01   1.0000       43689.       1146.3    
      3974400.  -0.35010E-01   1.0000       44021.       1121.7    
      4060800.  -0.35469E-01   1.0000       44198.       1107.2    
      4147200.  -0.34870E-01   1.0000       43959.       1126.2    
      4233600.  -0.34267E-01   1.0000       43723.       1146.0    
      4320000.  -0.33874E-01   1.0000       43563.       1159.3    
      4406400.  -0.33491E-01   1.0000       43401.       1172.5    
      4492800.  -0.33240E-01   1.0000       43299.       1181.4    
      4579200.  -0.32872E-01   1.0000       43126.       1194.6    
      4665600.  -0.32502E-01   1.0000       42948.       1208.2    
      4752000.  -0.33463E-01   1.0000       43498.       1173.5    
      4838400.  -0.34510E-01   1.0000       44001.       1137.9    
      4924800.  -0.35509E-01   1.0000       44405.       1105.9    
      5011200.  -0.35925E-01   1.0000       44532.       1093.1    
      5097600.  -0.35233E-01   1.0000       44268.       1114.6    
      5184000.  -0.34597E-01   1.0000       44014.       1135.1    
      5270400.  -0.34164E-01   1.0000       43842.       1149.5    
      5356800.  -0.33714E-01   1.0000       43642.       1164.8    
      5443200.  -0.34158E-01   1.0000       43891.       1149.6    
      5529600.  -0.34540E-01   1.0000       44079.       1136.9    
      5616000.  -0.34876E-01   1.0000       44232.       1126.0    
      5702400.  -0.35027E-01   1.0000       44299.       1121.1    
      5788800.  -0.34796E-01   1.0000       44205.       1128.6    
      5875200.  -0.34799E-01   1.0000       44222.       1128.5    
      5961600.  -0.34651E-01   1.0000       44167.       1133.3    
      6048000.  -0.34285E-01   1.0000       44014.       1145.4    
      6134400.  -0.33871E-01   1.0000       43828.       1159.4    
      6220800.  -0.33466E-01   1.0000       43645.       1173.4    
      6307200.  -0.33079E-01   1.0000       43457.       1187.2    
      6393600.  -0.32719E-01   1.0000       43282.       1200.2    
      6480000.  -0.32377E-01   1.0000       43105.       1212.9    
      6566400.  -0.32053E-01   1.0000       42936.       1225.1    
      6652800.  -0.31739E-01   1.0000       42762.       1237.3    
      6739200.  -0.31446E-01   1.0000       42600.       1248.8    
      6825600.  -0.31151E-01   1.0000       42427.       1260.6    
      6912000.  -0.30865E-01   1.0000       42258.       1272.3    
      6998400.  -0.30585E-01   1.0000       42084.       1283.9    
      7084800.  -0.30324E-01   1.0000       41922.       1295.0    
      7171200.  -0.30075E-01   1.0000       41762.       1305.7    
      7257600.  -0.29831E-01   1.0000       41602.       1316.4    
      7344000.  -0.29600E-01   1.0000       41449.       1326.7    
      7430400.  -0.29406E-01   1.0000       41318.       1335.4    
      7516800.  -0.29208E-01   1.0000       41181.       1344.5    
      7603200.  -0.28992E-01   1.0000       41027.       1354.5    
      7689600.  -0.28787E-01   1.0000       40882.       1364.2    
      7776000.  -0.28604E-01   1.0000       40748.       1372.9    
      7862400.  -0.28412E-01   1.0000       40606.       1382.2    
      7948800.  -0.28225E-01   1.0000       40465.       1391.3    
      8035200.  -0.28046E-01   1.0000       40330.       1400.2    
      8121600.  -0.27870E-01   1.0000       40193.       1409.1    
      8208000.  -0.27700E-01   1.0000       40062.       1417.7    
      8294400.  -0.27533E-01   1.0000       39928.       1426.3    
      8380800.  -0.29071E-01   1.0000       41089.       1350.8    
      8467200.  -0.29036E-01   1.0000       41019.       1352.5    
      8553600.  -0.28978E-01   1.0000       40963.       1355.2    
      8640000.  -0.28815E-01   1.0000       40832.       1362.8    
      8726400.  -0.28624E-01   1.0000       40683.       1371.9    
      8812800.  -0.28430E-01   1.0000       40534.       1381.3    
      8899200.  -0.28196E-01   1.0000       40355.       1392.7    
      8985600.  -0.28185E-01   1.0000       40347.       1393.3    
      9072000.  -0.28485E-01   1.0000       40568.       1378.6    
      9158400.  -0.28359E-01   1.0000       40461.       1384.7    
      9244800.  -0.29233E-01   1.0000       41094.       1343.3    
      9331200.  -0.31230E-01   1.0000       42406.       1257.4    
      9417600.  -0.35909E-01   1.0000       44663.       1093.6    
      9504000.  -0.38416E-01   1.0000       45032.       1022.2    
      9590400.  -0.36487E-01   1.0000       44607.       1076.3    
      9676800.  -0.35157E-01   1.0000       44179.       1117.0    
      9763200.  -0.34114E-01   1.0000       43747.       1151.1    
      9849600.  -0.33308E-01   1.0000       43377.       1179.0    
      9936000.  -0.34012E-01   1.0000       43771.       1154.6    
     10022400.  -0.34397E-01   1.0000       43953.       1141.7    
     10108800.  -0.34399E-01   1.0000       43962.       1141.6    
     10195200.  -0.34666E-01   1.0000       44097.       1132.8    
     10281600.  -0.34721E-01   1.0000       44127.       1131.0    
     10368000.  -0.34234E-01   1.0000       43910.       1147.1    
     10454400.  -0.33669E-01   1.0000       43659.       1166.4    
     10540800.  -0.33735E-01   1.0000       43719.       1164.1    
     10627200.  -0.34019E-01   1.0000       43872.       1154.4    
     10713600.  -0.33999E-01   1.0000       43869.       1155.0    
     10800000.  -0.33698E-01   1.0000       43733.       1165.3    
     10886400.  -0.33274E-01   1.0000       43525.       1180.2    
     10972800.  -0.32823E-01   1.0000       43302.       1196.4    
