   TOTIM (T)     FLOWRATE     DIAM.         RE           RT
        86400.  -0.40449E-01   1.0000       39387.       970.86    
       172800.  -0.38933E-01   1.0000       37911.       1008.7    
       259200.  -0.39267E-01   1.0000       38236.       1000.1    
       345600.  -0.39293E-01   1.0000       38261.       999.42    
       432000.  -0.40420E-01   1.0000       39359.       971.54    
       518400.  -0.40884E-01   1.0000       39811.       960.51    
       604800.  -0.40872E-01   1.0000       39799.       960.81    
       691200.  -0.42271E-01   1.0000       41161.       929.00    
       777600.  -0.45963E-01   1.0000       44756.       854.38    
       864000.  -0.50761E-01   1.0000       49428.       773.63    
       950400.  -0.51699E-01   1.0000       50342.       759.58    
      1036800.  -0.56245E-01   1.0000       54769.       698.19    
      1123200.  -0.64582E-01   1.0000       62886.       608.07    
      1209600.  -0.60530E-01   1.0000       58941.       648.76    
      1296000.  -0.57340E-01   1.0000       55835.       684.86    
      1382400.  -0.54987E-01   1.0000       53544.       714.16    
      1468800.  -0.53129E-01   1.0000       51734.       739.14    
      1555200.  -0.51430E-01   1.0000       50080.       763.56    
      1641600.  -0.49910E-01   1.0000       48599.       786.82    
      1728000.  -0.48782E-01   1.0000       47502.       805.00    
      1814400.  -0.47882E-01   1.0000       46625.       820.14    
      1900800.  -0.46831E-01   1.0000       45601.       838.55    
      1987200.  -0.45950E-01   1.0000       44744.       854.62    
      2073600.  -0.45326E-01   1.0000       44136.       866.39    
      2160000.  -0.44494E-01   1.0000       43326.       882.59    
      2246400.  -0.43705E-01   1.0000       42558.       898.52    
      2332800.  -0.42965E-01   1.0000       41837.       913.99    
      2419200.  -0.42271E-01   1.0000       41161.       929.00    
      2505600.  -0.42276E-01   1.0000       41166.       928.90    
      2592000.  -0.41895E-01   1.0000       40795.       937.34    
      2678400.  -0.43894E-01   1.0000       42741.       894.66    
      2764800.  -0.49864E-01   1.0000       48555.       787.54    
      2851200.  -0.62511E-01   1.0000       60869.       628.21    
      2937600.  -0.57142E-01   1.0000       55642.       687.23    
      3024000.  -0.56160E-01   1.0000       54685.       699.25    
      3110400.  -0.55361E-01   1.0000       53908.       709.34    
      3196800.  -0.53844E-01   1.0000       52431.       729.32    
      3283200.  -0.52203E-01   1.0000       50832.       752.25    
      3369600.  -0.52413E-01   1.0000       51037.       749.25    
      3456000.  -0.53410E-01   1.0000       52008.       735.25    
      3542400.  -0.54795E-01   1.0000       53357.       716.66    
      3628800.  -0.54879E-01   1.0000       53438.       715.58    
      3715200.  -0.53521E-01   1.0000       52116.       733.73    
      3801600.  -0.53616E-01   1.0000       52208.       732.43    
      3888000.  -0.54373E-01   1.0000       52946.       722.23    
      3974400.  -0.56157E-01   1.0000       54683.       699.28    
      4060800.  -0.57222E-01   1.0000       55720.       686.27    
      4147200.  -0.55650E-01   1.0000       54189.       705.66    
      4233600.  -0.53962E-01   1.0000       52545.       727.73    
      4320000.  -0.52839E-01   1.0000       51452.       743.20    
      4406400.  -0.51780E-01   1.0000       50420.       758.40    
      4492800.  -0.51074E-01   1.0000       49733.       768.88    
      4579200.  -0.50101E-01   1.0000       48786.       783.82    
      4665600.  -0.49124E-01   1.0000       47834.       799.41    
      4752000.  -0.51546E-01   1.0000       50192.       761.85    
      4838400.  -0.54219E-01   1.0000       52795.       724.29    
      4924800.  -0.56686E-01   1.0000       55198.       692.76    
      5011200.  -0.57673E-01   1.0000       56159.       680.90    
      5097600.  -0.55863E-01   1.0000       54397.       702.96    
      5184000.  -0.54106E-01   1.0000       52686.       725.79    
      5270400.  -0.52882E-01   1.0000       51493.       742.60    
      5356800.  -0.51672E-01   1.0000       50315.       759.99    
      5443200.  -0.52719E-01   1.0000       51335.       744.89    
      5529600.  -0.53673E-01   1.0000       52264.       731.65    
      5616000.  -0.54487E-01   1.0000       53056.       720.72    
      5702400.  -0.54818E-01   1.0000       53379.       716.36    
      5788800.  -0.54182E-01   1.0000       52759.       724.78    
      5875200.  -0.54098E-01   1.0000       52678.       725.90    
      5961600.  -0.53672E-01   1.0000       52263.       731.67    
      6048000.  -0.52692E-01   1.0000       51309.       745.27    
      6134400.  -0.51593E-01   1.0000       50238.       761.15    
      6220800.  -0.50522E-01   1.0000       49196.       777.28    
      6307200.  -0.49521E-01   1.0000       48221.       792.99    
      6393600.  -0.48599E-01   1.0000       47323.       808.03    
      6480000.  -0.47746E-01   1.0000       46493.       822.47    
      6566400.  -0.46944E-01   1.0000       45712.       836.52    
      6652800.  -0.46186E-01   1.0000       44974.       850.25    
      6739200.  -0.45483E-01   1.0000       44289.       863.40    
      6825600.  -0.44793E-01   1.0000       43617.       876.69    
      6912000.  -0.44121E-01   1.0000       42963.       890.05    
      6998400.  -0.43484E-01   1.0000       42342.       903.09    
      7084800.  -0.42895E-01   1.0000       41769.       915.48    
      7171200.  -0.42343E-01   1.0000       41231.       927.42    
      7257600.  -0.41812E-01   1.0000       40714.       939.20    
      7344000.  -0.41315E-01   1.0000       40230.       950.50    
      7430400.  -0.40926E-01   1.0000       39851.       959.54    
      7516800.  -0.40523E-01   1.0000       39459.       969.08    
      7603200.  -0.40071E-01   1.0000       39019.       980.00    
      7689600.  -0.39649E-01   1.0000       38608.       990.45    
      7776000.  -0.39295E-01   1.0000       38264.       999.36    
      7862400.  -0.38908E-01   1.0000       37887.       1009.3    
      7948800.  -0.38543E-01   1.0000       37531.       1018.9    
      8035200.  -0.38195E-01   1.0000       37192.       1028.1    
      8121600.  -0.37861E-01   1.0000       36867.       1037.2    
      8208000.  -0.37540E-01   1.0000       36554.       1046.1    
      8294400.  -0.37230E-01   1.0000       36253.       1054.8    
      8380800.  -0.41688E-01   1.0000       40594.       941.99    
      8467200.  -0.41651E-01   1.0000       40558.       942.82    
      8553600.  -0.41462E-01   1.0000       40373.       947.13    
      8640000.  -0.41027E-01   1.0000       39950.       957.18    
      8726400.  -0.40540E-01   1.0000       39476.       968.66    
      8812800.  -0.40063E-01   1.0000       39011.       980.20    
      8899200.  -0.39487E-01   1.0000       38450.       994.50    
      8985600.  -0.39549E-01   1.0000       38511.       992.93    
      9072000.  -0.40477E-01   1.0000       39414.       970.17    
      9158400.  -0.40190E-01   1.0000       39135.       977.10    
      9244800.  -0.42650E-01   1.0000       41530.       920.75    
      9331200.  -0.48010E-01   1.0000       46750.       817.95    
      9417600.  -0.59776E-01   1.0000       58207.       656.95    
