   TOTIM (T)     FLOWRATE     DIAM.         RE           RT
        86400.   0.74212E-01   1.0000      0.10752E+06   529.16    
       172800.   0.71616E-01   1.0000      0.10466E+06   548.34    
       259200.   0.72126E-01   1.0000      0.10526E+06   544.46    
       345600.   0.72157E-01   1.0000      0.10532E+06   544.23    
       432000.   0.74082E-01   1.0000      0.10746E+06   530.09    
       518400.   0.74923E-01   1.0000      0.10837E+06   524.14    
       604800.   0.74935E-01   1.0000      0.10836E+06   524.05    
       691200.   0.77381E-01   1.0000      0.11096E+06   507.49    
       777600.   0.83991E-01   1.0000      0.11776E+06   467.55    
       864000.   0.92887E-01   1.0000      0.12622E+06   422.77    
       950400.   0.94671E-01   1.0000      0.12757E+06   414.80    
      1036800.   0.10340       1.0000      0.13485E+06   379.78    
      1123200.   0.11981       1.0000      0.14625E+06   327.76    
      1209600.   0.11105       1.0000      0.13967E+06   353.62    
      1296000.   0.10486       1.0000      0.13456E+06   374.51    
      1382400.   0.10046       1.0000      0.13078E+06   390.92    
      1468800.   0.97025E-01   1.0000      0.12777E+06   404.74    
      1555200.   0.93912E-01   1.0000      0.12500E+06   418.15    
      1641600.   0.91153E-01   1.0000      0.12251E+06   430.81    
      1728000.   0.89134E-01   1.0000      0.12068E+06   440.57    
      1814400.   0.87521E-01   1.0000      0.11921E+06   448.69    
      1900800.   0.85635E-01   1.0000      0.11747E+06   458.57    
      1987200.   0.84051E-01   1.0000      0.11598E+06   467.21    
      2073600.   0.82945E-01   1.0000      0.11497E+06   473.44    
      2160000.   0.81456E-01   1.0000      0.11355E+06   482.10    
      2246400.   0.80045E-01   1.0000      0.11219E+06   490.60    
      2332800.   0.78732E-01   1.0000      0.11092E+06   498.78    
      2419200.   0.77493E-01   1.0000      0.10971E+06   506.76    
      2505600.   0.77500E-01   1.0000      0.10982E+06   506.71    
      2592000.   0.76819E-01   1.0000      0.10917E+06   511.20    
      2678400.   0.80379E-01   1.0000      0.11297E+06   488.56    
      2764800.   0.91367E-01   1.0000      0.12380E+06   429.80    
      2851200.   0.11597       1.0000      0.14348E+06   338.61    
      2937600.   0.10463       1.0000      0.13451E+06   375.31    
      3024000.   0.10292       1.0000      0.13279E+06   381.57    
      3110400.   0.10142       1.0000      0.13136E+06   387.19    
      3196800.   0.98531E-01   1.0000      0.12879E+06   398.56    
      3283200.   0.95443E-01   1.0000      0.12603E+06   411.45    
      3369600.   0.95953E-01   1.0000      0.12648E+06   409.26    
      3456000.   0.97913E-01   1.0000      0.12818E+06   401.07    
      3542400.   0.10056       1.0000      0.13035E+06   390.50    
      3628800.   0.10065       1.0000      0.13032E+06   390.15    
      3715200.   0.97981E-01   1.0000      0.12796E+06   400.79    
      3801600.   0.98227E-01   1.0000      0.12813E+06   399.79    
      3888000.   0.99713E-01   1.0000      0.12935E+06   393.83    
      3974400.   0.10317       1.0000      0.13212E+06   380.62    
      4060800.   0.10517       1.0000      0.13357E+06   373.40    
      4147200.   0.10194       1.0000      0.13084E+06   385.21    
      4233600.   0.98711E-01   1.0000      0.12809E+06   397.83    
      4320000.   0.96623E-01   1.0000      0.12630E+06   406.42    
      4406400.   0.94673E-01   1.0000      0.12463E+06   414.80    
      4492800.   0.93399E-01   1.0000      0.12355E+06   420.45    
      4579200.   0.91599E-01   1.0000      0.12198E+06   428.71    
      4665600.   0.89815E-01   1.0000      0.12041E+06   437.23    
      4752000.   0.94499E-01   1.0000      0.12477E+06   415.56    
      4838400.   0.99614E-01   1.0000      0.12920E+06   394.22    
      4924800.   0.10433       1.0000      0.13293E+06   376.41    
      5011200.   0.10608       1.0000      0.13408E+06   370.18    
      5097600.   0.10238       1.0000      0.13099E+06   383.56    
      5184000.   0.98988E-01   1.0000      0.12810E+06   396.71    
      5270400.   0.96724E-01   1.0000      0.12617E+06   406.00    
      5356800.   0.94466E-01   1.0000      0.12422E+06   415.71    
      5443200.   0.96592E-01   1.0000      0.12616E+06   406.56    
      5529600.   0.98436E-01   1.0000      0.12776E+06   398.94    
      5616000.   0.99973E-01   1.0000      0.12901E+06   392.80    
      5702400.   0.10057       1.0000      0.12945E+06   390.48    
      5788800.   0.99287E-01   1.0000      0.12832E+06   395.52    
      5875200.   0.99148E-01   1.0000      0.12817E+06   396.07    
      5961600.   0.98324E-01   1.0000      0.12746E+06   399.39    
      6048000.   0.96450E-01   1.0000      0.12585E+06   407.15    
      6134400.   0.94371E-01   1.0000      0.12405E+06   416.12    
      6220800.   0.92398E-01   1.0000      0.12234E+06   425.01    
      6307200.   0.90553E-01   1.0000      0.12073E+06   433.67    
      6393600.   0.88884E-01   1.0000      0.11927E+06   441.81    
      6480000.   0.87330E-01   1.0000      0.11790E+06   449.67    
      6566400.   0.85892E-01   1.0000      0.11663E+06   457.20    
      6652800.   0.84518E-01   1.0000      0.11539E+06   464.63    
      6739200.   0.83266E-01   1.0000      0.11428E+06   471.62    
      6825600.   0.82021E-01   1.0000      0.11314E+06   478.78    
      6912000.   0.80828E-01   1.0000      0.11206E+06   485.85    
      6998400.   0.79681E-01   1.0000      0.11099E+06   492.84    
      7084800.   0.78635E-01   1.0000      0.11003E+06   499.40    
      7171200.   0.77652E-01   1.0000      0.10912E+06   505.72    
      7257600.   0.76706E-01   1.0000      0.10823E+06   511.95    
      7344000.   0.75826E-01   1.0000      0.10741E+06   517.89    
      7430400.   0.75130E-01   1.0000      0.10678E+06   522.69    
      7516800.   0.74418E-01   1.0000      0.10612E+06   527.69    
      7603200.   0.73615E-01   1.0000      0.10534E+06   533.45    
      7689600.   0.72870E-01   1.0000      0.10463E+06   538.91    
      7776000.   0.72235E-01   1.0000      0.10403E+06   543.64    
      7862400.   0.71555E-01   1.0000      0.10338E+06   548.81    
      7948800.   0.70901E-01   1.0000      0.10274E+06   553.87    
      8035200.   0.70289E-01   1.0000      0.10216E+06   558.69    
      8121600.   0.69690E-01   1.0000      0.10157E+06   563.49    
      8208000.   0.69125E-01   1.0000      0.10102E+06   568.10    
      8294400.   0.68568E-01   1.0000      0.10047E+06   572.71    
      8380800.   0.76239E-01   1.0000      0.10902E+06   515.09    
      8467200.   0.76308E-01   1.0000      0.10906E+06   514.62    
      8553600.   0.76039E-01   1.0000      0.10874E+06   516.45    
      8640000.   0.75304E-01   1.0000      0.10794E+06   521.48    
      8726400.   0.74455E-01   1.0000      0.10702E+06   527.43    
      8812800.   0.73618E-01   1.0000      0.10614E+06   533.43    
      8899200.   0.72605E-01   1.0000      0.10506E+06   540.87    
      8985600.   0.72687E-01   1.0000      0.10520E+06   540.26    
      9072000.   0.74287E-01   1.0000      0.10700E+06   528.62    
      9158400.   0.73815E-01   1.0000      0.10650E+06   532.01    
      9244800.   0.78117E-01   1.0000      0.11113E+06   502.71    
      9331200.   0.87865E-01   1.0000      0.12097E+06   446.93    
      9417600.   0.11048       1.0000      0.14022E+06   355.45    
      9504000.   0.12231       1.0000      0.14729E+06   321.08    
      9590400.   0.11196       1.0000      0.13983E+06   350.75    
      9676800.   0.10452       1.0000      0.13380E+06   375.72    
      9763200.   0.98947E-01   1.0000      0.12903E+06   396.88    
      9849600.   0.94747E-01   1.0000      0.12533E+06   414.47    
      9936000.   0.98003E-01   1.0000      0.12823E+06   400.70    
     10022400.   0.99774E-01   1.0000      0.12969E+06   393.59    
     10108800.   0.99573E-01   1.0000      0.12944E+06   394.38    
     10195200.   0.10062       1.0000      0.13024E+06   390.26    
     10281600.   0.10067       1.0000      0.13019E+06   390.07    
     10368000.   0.98074E-01   1.0000      0.12790E+06   400.41    
     10454400.   0.95134E-01   1.0000      0.12533E+06   412.78    
     10540800.   0.95338E-01   1.0000      0.12553E+06   411.90    
     10627200.   0.96660E-01   1.0000      0.12669E+06   406.27    
     10713600.   0.96480E-01   1.0000      0.12652E+06   407.03    
     10800000.   0.94902E-01   1.0000      0.12511E+06   413.80    
     10886400.   0.92746E-01   1.0000      0.12317E+06   423.42    
     10972800.   0.90515E-01   1.0000      0.12117E+06   433.85    
     11059200.   0.88120E-01   1.0000      0.11898E+06   445.64    
     11145600.   0.85982E-01   1.0000      0.11701E+06   456.72    
     11232000.   0.84146E-01   1.0000      0.11533E+06   466.69    
     11318400.   0.82502E-01   1.0000      0.11380E+06   475.99    
     11404800.   0.84435E-01   1.0000      0.11584E+06   465.09    
     11491200.   0.82501E-01   1.0000      0.11399E+06   476.00    
     11577600.   0.87188E-01   1.0000      0.11870E+06   450.40    
     11664000.   0.97490E-01   1.0000      0.12814E+06   402.81    
     11750400.   0.12001       1.0000      0.14450E+06   327.22    
     11836800.   0.10907       1.0000      0.13662E+06   360.06    
     11923200.   0.10225       1.0000      0.13105E+06   384.06    
     12009600.   0.97704E-01   1.0000      0.12717E+06   401.93    
     12096000.   0.97069E-01   1.0000      0.12663E+06   404.56    
     12182400.   0.96007E-01   1.0000      0.12573E+06   409.03    
     12268800.   0.94116E-01   1.0000      0.12409E+06   417.25    
     12355200.   0.91922E-01   1.0000      0.12215E+06   427.21    
     12441600.   0.90774E-01   1.0000      0.12117E+06   432.61    
     12528000.   0.98135E-01   1.0000      0.12780E+06   400.16    
     12614400.   0.10470       1.0000      0.13311E+06   375.09    
     12700800.   0.10137       1.0000      0.13024E+06   387.38    
     12787200.   0.98187E-01   1.0000      0.12749E+06   399.95    
     12873600.   0.95098E-01   1.0000      0.12479E+06   412.94    
     12960000.   0.96299E-01   1.0000      0.12588E+06   407.79    
     13046400.   0.95033E-01   1.0000      0.12478E+06   413.22    
     13132800.   0.93304E-01   1.0000      0.12327E+06   420.88    
     13219200.   0.92424E-01   1.0000      0.12253E+06   424.89    
     13305600.   0.90927E-01   1.0000      0.12120E+06   431.88    
     13392000.   0.94734E-01   1.0000      0.12472E+06   414.53    
     13478400.   0.96798E-01   1.0000      0.12652E+06   405.69    
     13564800.   0.95532E-01   1.0000      0.12537E+06   411.07    
     13651200.   0.93953E-01   1.0000      0.12395E+06   417.97    
     13737600.   0.92157E-01   1.0000      0.12234E+06   426.12    
     13824000.   0.99062E-01   1.0000      0.12845E+06   396.42    
     13910400.   0.10712       1.0000      0.13478E+06   366.58    
     13996800.   0.10437       1.0000      0.13242E+06   376.26    
     14083200.   0.10090       1.0000      0.12950E+06   389.21    
     14169600.   0.10263       1.0000      0.13083E+06   382.64    
     14256000.   0.10366       1.0000      0.13157E+06   378.83    
     14342400.   0.11151       1.0000      0.13727E+06   352.16    
     14428800.   0.13093       1.0000      0.14646E+06   299.93    
     14515200.   0.12437       1.0000      0.14347E+06   315.75    
     14601600.   0.12436       1.0000      0.14291E+06   315.77    
     14688000.   0.12876       1.0000      0.14376E+06   304.99    
     14774400.   0.12804       1.0000      0.14301E+06   306.69    
     14860800.   0.12409       1.0000      0.14139E+06   316.47    
     14947200.   0.12079       1.0000      0.13980E+06   325.11    
     15033600.   0.11709       1.0000      0.13781E+06   335.39    
     15120000.   0.11358       1.0000      0.13580E+06   345.75    
     15206400.   0.11003       1.0000      0.13357E+06   356.91    
     15292800.   0.10667       1.0000      0.13138E+06   368.14    
     15379200.   0.11366       1.0000      0.13617E+06   345.52    
     15465600.   0.11569       1.0000      0.13733E+06   339.43    
     15552000.   0.11265       1.0000      0.13540E+06   348.62    
     15638400.   0.10871       1.0000      0.13279E+06   361.22    
     15724800.   0.10538       1.0000      0.13048E+06   372.65    
     15811200.   0.10255       1.0000      0.12847E+06   382.93    
     15897600.   0.10016       1.0000      0.12673E+06   392.09    
     15984000.   0.99021E-01   1.0000      0.12597E+06   396.58    
     16070400.   0.96976E-01   1.0000      0.12444E+06   404.95    
     16156800.   0.95120E-01   1.0000      0.12300E+06   412.84    
     16243200.   0.93404E-01   1.0000      0.12167E+06   420.43    
     16329600.   0.91817E-01   1.0000      0.12042E+06   427.70    
     16416000.   0.90361E-01   1.0000      0.11926E+06   434.59    
     16502400.   0.88993E-01   1.0000      0.11816E+06   441.27    
     16588800.   0.87729E-01   1.0000      0.11714E+06   447.63    
     16675200.   0.86544E-01   1.0000      0.11617E+06   453.75    
     16761600.   0.85965E-01   1.0000      0.11577E+06   456.81    
     16848000.   0.85772E-01   1.0000      0.11572E+06   457.84    
     16934400.   0.87334E-01   1.0000      0.11735E+06   449.65    
     17020800.   0.87392E-01   1.0000      0.11749E+06   449.35    
     17107200.   0.85661E-01   1.0000      0.11591E+06   458.43    
     17193600.   0.84339E-01   1.0000      0.11471E+06   465.62    
     17280000.   0.83128E-01   1.0000      0.11363E+06   472.40    
     17366400.   0.81992E-01   1.0000      0.11260E+06   478.95    
     17452800.   0.80981E-01   1.0000      0.11170E+06   484.93    
     17539200.   0.80034E-01   1.0000      0.11085E+06   490.66    
     17625600.   0.79172E-01   1.0000      0.11009E+06   496.01    
     17712000.   0.79153E-01   1.0000      0.11019E+06   496.12    
     17798400.   0.78282E-01   1.0000      0.10938E+06   501.65    
     17884800.   0.77407E-01   1.0000      0.10858E+06   507.32    
     17971200.   0.76615E-01   1.0000      0.10784E+06   512.56    
     18057600.   0.75901E-01   1.0000      0.10719E+06   517.38    
     18144000.   0.75215E-01   1.0000      0.10656E+06   522.11    
     18230400.   0.74573E-01   1.0000      0.10598E+06   526.60    
     18316800.   0.73950E-01   1.0000      0.10540E+06   531.03    
     18403200.   0.73358E-01   1.0000      0.10486E+06   535.32    
     18489600.   0.72784E-01   1.0000      0.10433E+06   539.54    
     18576000.   0.72228E-01   1.0000      0.10381E+06   543.69    
     18662400.   0.71697E-01   1.0000      0.10332E+06   547.72    
     18748800.   0.71168E-01   1.0000      0.10281E+06   551.79    
     18835200.   0.72274E-01   1.0000      0.10413E+06   543.35    
