   TOTIM (T)     FLOWRATE     DIAM.         RE           RT
        86400.   0.18417       1.0000      0.17934E+06   213.23    
       172800.   0.18230       1.0000      0.17751E+06   215.42    
       259200.   0.18221       1.0000      0.17742E+06   215.53    
       345600.   0.18197       1.0000      0.17720E+06   215.80    
       432000.   0.18319       1.0000      0.17838E+06   214.37    
       518400.   0.18397       1.0000      0.17914E+06   213.46    
       604800.   0.18425       1.0000      0.17942E+06   213.13    
       691200.   0.18621       1.0000      0.18132E+06   210.89    
       777600.   0.19133       1.0000      0.18631E+06   205.24    
       864000.   0.19880       1.0000      0.19358E+06   197.53    
       950400.   0.20261       1.0000      0.19729E+06   193.82    
      1036800.   0.21024       1.0000      0.20472E+06   186.79    
      1123200.   0.22286       1.0000      0.21701E+06   176.21    
      1209600.   0.22317       1.0000      0.21731E+06   175.96    
      1296000.   0.22219       1.0000      0.21636E+06   176.74    
      1382400.   0.22070       1.0000      0.21490E+06   177.94    
      1468800.   0.21907       1.0000      0.21332E+06   179.26    
      1555200.   0.21717       1.0000      0.21147E+06   180.83    
      1641600.   0.21512       1.0000      0.20947E+06   182.55    
      1728000.   0.21329       1.0000      0.20769E+06   184.11    
      1814400.   0.21167       1.0000      0.20611E+06   185.53    
      1900800.   0.20978       1.0000      0.20427E+06   187.20    
      1987200.   0.20807       1.0000      0.20261E+06   188.74    
      2073600.   0.20657       1.0000      0.20114E+06   190.11    
      2160000.   0.20485       1.0000      0.19947E+06   191.70    
      2246400.   0.20315       1.0000      0.19781E+06   193.31    
      2332800.   0.20140       1.0000      0.19611E+06   194.99    
      2419200.   0.19972       1.0000      0.19447E+06   196.63    
      2505600.   0.19879       1.0000      0.19357E+06   197.54    
      2592000.   0.19768       1.0000      0.19249E+06   198.66    
      2678400.   0.19935       1.0000      0.19412E+06   196.99    
      2764800.   0.20641       1.0000      0.20099E+06   190.25    
      2851200.   0.22277       1.0000      0.21692E+06   176.28    
      2937600.   0.22189       1.0000      0.21607E+06   176.98    
      3024000.   0.22302       1.0000      0.21716E+06   176.09    
      3110400.   0.22353       1.0000      0.21767E+06   175.68    
      3196800.   0.22278       1.0000      0.21694E+06   176.27    
      3283200.   0.22143       1.0000      0.21562E+06   177.35    
      3369600.   0.22162       1.0000      0.21580E+06   177.19    
      3456000.   0.22284       1.0000      0.21699E+06   176.23    
      3542400.   0.22496       1.0000      0.21905E+06   174.57    
      3628800.   0.22595       1.0000      0.22002E+06   173.80    
      3715200.   0.22525       1.0000      0.21934E+06   174.34    
      3801600.   0.22563       1.0000      0.21970E+06   174.05    
      3888000.   0.22677       1.0000      0.22081E+06   173.17    
      3974400.   0.22928       1.0000      0.22326E+06   171.28    
      4060800.   0.23143       1.0000      0.22535E+06   169.68    
      4147200.   0.23095       1.0000      0.22489E+06   170.03    
      4233600.   0.22959       1.0000      0.22356E+06   171.04    
      4320000.   0.22837       1.0000      0.22237E+06   171.96    
      4406400.   0.22692       1.0000      0.22096E+06   173.06    
      4492800.   0.22570       1.0000      0.21978E+06   173.99    
      4579200.   0.22417       1.0000      0.21828E+06   175.18    
      4665600.   0.22247       1.0000      0.21663E+06   176.52    
