   TOTIM (T)     FLOWRATE     DIAM.         RE           RT
        86400.   0.28227E-01   1.0000       40453.       1391.2    
       172800.   0.27655E-01   1.0000       39994.       1420.0    
       259200.   0.27767E-01   1.0000       40097.       1414.3    
       345600.   0.27758E-01   1.0000       40090.       1414.7    
       432000.   0.28174E-01   1.0000       40425.       1393.8    
       518400.   0.28352E-01   1.0000       40558.       1385.1    
       604800.   0.28359E-01   1.0000       40558.       1384.8    
       691200.   0.28904E-01   1.0000       40978.       1358.6    
       777600.   0.30366E-01   1.0000       42042.       1293.2    
       864000.   0.32344E-01   1.0000       43320.       1214.1    
       950400.   0.32796E-01   1.0000       43543.       1197.4    
      1036800.   0.34812E-01   1.0000       44623.       1128.1    
      1123200.   0.38503E-01   1.0000       45870.       1019.9    
      1209600.   0.36742E-01   1.0000       45285.       1068.8    
      1296000.   0.35590E-01   1.0000       44855.       1103.4    
      1382400.   0.34745E-01   1.0000       44486.       1130.2    
      1468800.   0.34073E-01   1.0000       44170.       1152.5    
      1555200.   0.33447E-01   1.0000       43859.       1174.1    
      1641600.   0.32881E-01   1.0000       43568.       1194.3    
      1728000.   0.32463E-01   1.0000       43352.       1209.7    
      1814400.   0.32123E-01   1.0000       43172.       1222.5    
      1900800.   0.31715E-01   1.0000       42941.       1238.2    
      1987200.   0.31369E-01   1.0000       42739.       1251.9    
      2073600.   0.31120E-01   1.0000       42599.       1261.9    
      2160000.   0.30782E-01   1.0000       42389.       1275.7    
      2246400.   0.30459E-01   1.0000       42183.       1289.3    
      2332800.   0.30152E-01   1.0000       41986.       1302.4    
      2419200.   0.29858E-01   1.0000       41790.       1315.2    
      2505600.   0.29835E-01   1.0000       41793.       1316.2    
      2592000.   0.29658E-01   1.0000       41672.       1324.1    
      2678400.   0.30419E-01   1.0000       42245.       1290.9    
      2764800.   0.32817E-01   1.0000       43838.       1196.6    
      2851200.   0.38226E-01   1.0000       46245.       1027.3    
      2937600.   0.35834E-01   1.0000       45248.       1095.9    
      3024000.   0.35642E-01   1.0000       45191.       1101.8    
      3110400.   0.35399E-01   1.0000       45071.       1109.3    
      3196800.   0.34839E-01   1.0000       44806.       1127.2    
      3283200.   0.34222E-01   1.0000       44500.       1147.5    
      3369600.   0.34375E-01   1.0000       44613.       1142.4    
      3456000.   0.34834E-01   1.0000       44874.       1127.3    
      3542400.   0.35453E-01   1.0000       45185.       1107.7    
      3628800.   0.35521E-01   1.0000       45218.       1105.5    
      3715200.   0.34993E-01   1.0000       44968.       1122.2    
      3801600.   0.35096E-01   1.0000       45044.       1118.9    
      3888000.   0.35456E-01   1.0000       45234.       1107.6    
      3974400.   0.36255E-01   1.0000       45606.       1083.2    
      4060800.   0.36742E-01   1.0000       45805.       1068.8    
      4147200.   0.36101E-01   1.0000       45530.       1087.8    
      4233600.   0.35454E-01   1.0000       45256.       1107.6    
      4320000.   0.35033E-01   1.0000       45071.       1120.9    
      4406400.   0.34624E-01   1.0000       44887.       1134.2    
      4492800.   0.34355E-01   1.0000       44770.       1143.0    
      4579200.   0.33963E-01   1.0000       44575.       1156.2    
      4665600.   0.33570E-01   1.0000       44374.       1169.8    
      4752000.   0.34592E-01   1.0000       44983.       1135.2    
      4838400.   0.35709E-01   1.0000       45548.       1099.7    
      4924800.   0.36772E-01   1.0000       46004.       1067.9    
