   TOTIM (T)     FLOWRATE     DIAM.         RE           RT
        86400.   0.20238       1.0000      0.19707E+06   194.04    
       172800.   0.19961       1.0000      0.19437E+06   196.74    
       259200.   0.19968       1.0000      0.19444E+06   196.66    
       345600.   0.19945       1.0000      0.19421E+06   196.89    
       432000.   0.20131       1.0000      0.19603E+06   195.07    
       518400.   0.20239       1.0000      0.19708E+06   194.03    
       604800.   0.20269       1.0000      0.19737E+06   193.74    
       691200.   0.20549       1.0000      0.20010E+06   191.10    
       777600.   0.21293       1.0000      0.20734E+06   184.43    
       864000.   0.22344       1.0000      0.21758E+06   175.75    
       950400.   0.22789       1.0000      0.22191E+06   172.32    
      1036800.   0.23863       1.0000      0.23236E+06   164.56    
      1123200.   0.25696       1.0000      0.25022E+06   152.82    
      1209600.   0.25422       1.0000      0.24754E+06   154.47    
      1296000.   0.25142       1.0000      0.24482E+06   156.19    
      1382400.   0.24869       1.0000      0.24216E+06   157.91    
      1468800.   0.24598       1.0000      0.23952E+06   159.65    
      1555200.   0.24305       1.0000      0.23667E+06   161.57    
      1641600.   0.24008       1.0000      0.23377E+06   163.57    
      1728000.   0.23754       1.0000      0.23130E+06   165.32    
      1814400.   0.23529       1.0000      0.22911E+06   166.90    
      1900800.   0.23273       1.0000      0.22662E+06   168.74    
      1987200.   0.23037       1.0000      0.22432E+06   170.47    
      2073600.   0.22841       1.0000      0.22242E+06   171.92    
      2160000.   0.22611       1.0000      0.22018E+06   173.67    
      2246400.   0.22383       1.0000      0.21795E+06   175.45    
      2332800.   0.22158       1.0000      0.21577E+06   177.22    
      2419200.   0.21938       1.0000      0.21362E+06   179.00    
      2505600.   0.21840       1.0000      0.21267E+06   179.81    
      2592000.   0.21694       1.0000      0.21124E+06   181.02    
      2678400.   0.21977       1.0000      0.21400E+06   178.69    
      2764800.   0.23056       1.0000      0.22450E+06   170.33    
      2851200.   0.25527       1.0000      0.24857E+06   153.84    
      2937600.   0.25029       1.0000      0.24372E+06   156.89    
      3024000.   0.25113       1.0000      0.24454E+06   156.37    
      3110400.   0.25130       1.0000      0.24470E+06   156.27    
      3196800.   0.24970       1.0000      0.24315E+06   157.27    
      3283200.   0.24733       1.0000      0.24084E+06   158.77    
      3369600.   0.24773       1.0000      0.24123E+06   158.52    
      3456000.   0.24964       1.0000      0.24308E+06   157.31    
      3542400.   0.25257       1.0000      0.24594E+06   155.48    
