   TOTIM (T)     FLOWRATE     DIAM.         RE           RT
        86400.   0.18796       1.0000      0.19596E+06   208.93    
       172800.   0.18595       1.0000      0.19965E+06   211.19    
       259200.   0.18589       1.0000      0.19924E+06   211.26    
       345600.   0.18565       1.0000      0.19934E+06   211.53    
       432000.   0.18696       1.0000      0.19697E+06   210.04    
       518400.   0.18779       1.0000      0.19541E+06   209.12    
       604800.   0.18807       1.0000      0.19509E+06   208.81    
       691200.   0.19015       1.0000      0.18515E+06   206.53    
       777600.   0.19560       1.0000      0.19046E+06   200.77    
       864000.   0.20350       1.0000      0.19816E+06   192.97    
       950400.   0.20741       1.0000      0.20197E+06   189.33    
      1036800.   0.21547       1.0000      0.20982E+06   182.25    
      1123200.   0.22886       1.0000      0.22285E+06   171.59    
      1209600.   0.22886       1.0000      0.22285E+06   171.59    
      1296000.   0.22767       1.0000      0.22170E+06   172.48    
      1382400.   0.22601       1.0000      0.22008E+06   173.75    
      1468800.   0.22426       1.0000      0.21837E+06   175.11    
      1555200.   0.22223       1.0000      0.21639E+06   176.71    
      1641600.   0.22005       1.0000      0.21427E+06   178.46    
      1728000.   0.21812       1.0000      0.21239E+06   180.04    
      1814400.   0.21641       1.0000      0.21073E+06   181.46    
      1900800.   0.21442       1.0000      0.20879E+06   183.15    
      1987200.   0.21262       1.0000      0.20704E+06   184.69    
      2073600.   0.21105       1.0000      0.20551E+06   186.07    
      2160000.   0.20925       1.0000      0.20375E+06   187.67    
      2246400.   0.20746       1.0000      0.20201E+06   189.29    
      2332800.   0.20563       1.0000      0.20023E+06   190.97    
      2419200.   0.20387       1.0000      0.19852E+06   192.62    
      2505600.   0.20293       1.0000      0.19760E+06   193.52    
      2592000.   0.20176       1.0000      0.19647E+06   194.63    
      2678400.   0.20359       1.0000      0.19825E+06   192.88    
      2764800.   0.21115       1.0000      0.20561E+06   185.98    
      2851200.   0.22861       1.0000      0.22261E+06   171.78    
      2937600.   0.22729       1.0000      0.22132E+06   172.77    
      3024000.   0.22839       1.0000      0.22239E+06   171.94    
      3110400.   0.22887       1.0000      0.22286E+06   171.58    
      3196800.   0.22801       1.0000      0.22203E+06   172.23    
      3283200.   0.22654       1.0000      0.22059E+06   173.35    
      3369600.   0.22675       1.0000      0.22080E+06   173.18    
      3456000.   0.22805       1.0000      0.22207E+06   172.20    
      3542400.   0.23030       1.0000      0.22425E+06   170.52    
      3628800.   0.23130       1.0000      0.22523E+06   169.78    
      3715200.   0.23050       1.0000      0.22445E+06   170.37    
      3801600.   0.23089       1.0000      0.22483E+06   170.08    
      3888000.   0.23210       1.0000      0.22600E+06   169.19    
      3974400.   0.23476       1.0000      0.22860E+06   167.27    
      4060800.   0.23701       1.0000      0.23078E+06   165.69    
      4147200.   0.23641       1.0000      0.23021E+06   166.11    
      4233600.   0.23491       1.0000      0.22875E+06   167.17    
      4320000.   0.23361       1.0000      0.22747E+06   168.10    
      4406400.   0.23206       1.0000      0.22597E+06   169.22    
      4492800.   0.23078       1.0000      0.22472E+06   170.16    
      4579200.   0.22915       1.0000      0.22314E+06   171.37    
      4665600.   0.22736       1.0000      0.22139E+06   172.72    
      4752000.   0.22949       1.0000      0.22346E+06   171.12    
      4838400.   0.23282       1.0000      0.22671E+06   168.67    
      4924800.   0.23664       1.0000      0.23043E+06   165.95    
      5011200.   0.23934       1.0000      0.23306E+06   164.07    
      5097600.   0.23863       1.0000      0.23237E+06   164.56    
      5184000.   0.23725       1.0000      0.23102E+06   165.52    
      5270400.   0.23576       1.0000      0.22957E+06   166.57    
      5356800.   0.23410       1.0000      0.22796E+06   167.75    
      5443200.   0.23477       1.0000      0.22861E+06   167.27    
      5529600.   0.23583       1.0000      0.22964E+06   166.52    
      5616000.   0.23711       1.0000      0.23089E+06   165.62    
      5702400.   0.23801       1.0000      0.23176E+06   164.99    
      5788800.   0.23778       1.0000      0.23154E+06   165.15    
      5875200.   0.23791       1.0000      0.23167E+06   165.06    
      5961600.   0.23760       1.0000      0.23136E+06   165.28    
      6048000.   0.23648       1.0000      0.23027E+06   166.06    
      6134400.   0.23505       1.0000      0.22888E+06   167.07    
      6220800.   0.23329       1.0000      0.22717E+06   168.33    
      6307200.   0.23152       1.0000      0.22544E+06   169.62    
      6393600.   0.22960       1.0000      0.22357E+06   171.04    
      6480000.   0.22776       1.0000      0.22178E+06   172.42    
      6566400.   0.22582       1.0000      0.21989E+06   173.90    
      6652800.   0.22396       1.0000      0.21808E+06   175.34    
      6739200.   0.22205       1.0000      0.21622E+06   176.85    
      6825600.   0.22021       1.0000      0.21443E+06   178.33    
      6912000.   0.21828       1.0000      0.21255E+06   179.91    
      6998400.   0.21646       1.0000      0.21078E+06   181.42    
      7084800.   0.21463       1.0000      0.20900E+06   182.96    
      7171200.   0.21285       1.0000      0.20726E+06   184.50    
      7257600.   0.21110       1.0000      0.20556E+06   186.02    
      7344000.   0.20937       1.0000      0.20387E+06   187.56    
      7430400.   0.20782       1.0000      0.20237E+06   188.96    
      7516800.   0.20625       1.0000      0.20083E+06   190.40    
      7603200.   0.20468       1.0000      0.19931E+06   191.86    
      7689600.   0.20309       1.0000      0.19776E+06   193.36    
      7776000.   0.20165       1.0000      0.19635E+06   194.74    
      7862400.   0.20013       1.0000      0.19487E+06   196.22    
      7948800.   0.19871       1.0000      0.19349E+06   197.63    
      8035200.   0.19724       1.0000      0.19207E+06   199.09    
      8121600.   0.19589       1.0000      0.19074E+06   200.47    
      8208000.   0.19448       1.0000      0.18938E+06   201.92    
      8294400.   0.19319       1.0000      0.19718E+06   203.27    
      8380800.   0.19800       1.0000      0.19281E+06   198.33    
      8467200.   0.19864       1.0000      0.19343E+06   197.69    
      8553600.   0.19879       1.0000      0.19357E+06   197.54    
      8640000.   0.19834       1.0000      0.19313E+06   198.00    
      8726400.   0.19761       1.0000      0.19243E+06   198.72    
      8812800.   0.19668       1.0000      0.19152E+06   199.66    
      8899200.   0.19550       1.0000      0.19037E+06   200.87    
      8985600.   0.19502       1.0000      0.18990E+06   201.36    
      9072000.   0.19574       1.0000      0.19060E+06   200.62    
      9158400.   0.19527       1.0000      0.19014E+06   201.11    
      9244800.   0.19827       1.0000      0.19307E+06   198.06    
      9331200.   0.20568       1.0000      0.20028E+06   190.93    
      9417600.   0.22250       1.0000      0.21666E+06   176.49    
      9504000.   0.23482       1.0000      0.22865E+06   167.24    
      9590400.   0.23454       1.0000      0.22839E+06   167.43    
      9676800.   0.23278       1.0000      0.22667E+06   168.70    
      9763200.   0.23037       1.0000      0.22432E+06   170.47    
      9849600.   0.22780       1.0000      0.22182E+06   172.39    
      9936000.   0.22927       1.0000      0.22325E+06   171.28    
     10022400.   0.23078       1.0000      0.22473E+06   170.16    
     10108800.   0.23140       1.0000      0.22532E+06   169.71    
     10195200.   0.23262       1.0000      0.22651E+06   168.82    
     10281600.   0.23338       1.0000      0.22726E+06   168.26    
     10368000.   0.23256       1.0000      0.22646E+06   168.86    
