   TOTIM (T)     FLOWRATE     DIAM.         RE           RT
        86400.   0.10736E-01  0.53169       19663.       516.99    
       103680.   0.10357E-01  0.53169       18968.       535.94    
       120960.   0.10298E-01  0.53169       18860.       539.01    
       138240.   0.10243E-01  0.53169       18760.       541.87    
       155520.   0.10189E-01  0.53169       18661.       544.74    
       172800.   0.10136E-01  0.53169       18563.       547.62    
       190080.   0.10102E-01  0.53169       18501.       549.45    
       207360.   0.10068E-01  0.53169       18439.       551.30    
       224640.   0.10035E-01  0.53169       18378.       553.15    
       241920.   0.10001E-01  0.53169       18316.       555.00    
       259200.   0.99679E-02  0.53169       18255.       556.85    
       276480.   0.99401E-02  0.53169       18205.       558.41    
       293760.   0.99124E-02  0.53169       18154.       559.97    
       311040.   0.98849E-02  0.53169       18103.       561.53    
       328320.   0.98575E-02  0.53169       18053.       563.08    
       345600.   0.98303E-02  0.53169       18003.       564.64    
       362880.   0.98278E-02  0.53169       17999.       564.79    
       380160.   0.98249E-02  0.53169       17994.       564.96    
       397440.   0.98220E-02  0.53169       17988.       565.12    
       414720.   0.98191E-02  0.53169       17983.       565.29    
       432000.   0.98162E-02  0.53169       17978.       565.45    
       449280.   0.98320E-02  0.53169       18007.       564.55    
       466560.   0.98474E-02  0.53169       18035.       563.66    
       483840.   0.98627E-02  0.53169       18063.       562.79    
       501120.   0.98779E-02  0.53169       18091.       561.92    
       518400.   0.98931E-02  0.53169       18118.       561.06    
       535680.   0.98937E-02  0.53169       18120.       561.03    
       552960.   0.98946E-02  0.53169       18121.       560.98    
       570240.   0.98954E-02  0.53169       18123.       560.93    
       587520.   0.98963E-02  0.53169       18124.       560.88    
       604800.   0.98972E-02  0.53169       18126.       560.83    
       622080.   0.99032E-02  0.53169       18137.       560.49    
       639360.   0.99090E-02  0.53169       18148.       560.16    
       656640.   0.99149E-02  0.53169       18158.       559.83    
       673920.   0.99207E-02  0.53169       18169.       559.50    
       691200.   0.99265E-02  0.53169       18180.       559.17    
       708480.   0.99824E-02  0.53169       18282.       556.04    
       725760.   0.10037E-01  0.53169       18382.       553.00    
       743040.   0.10092E-01  0.53169       18482.       550.02    
       760320.   0.10146E-01  0.53169       18581.       547.08    
       777600.   0.10200E-01  0.53169       18680.       544.19    
       794880.   0.10298E-01  0.53169       18860.       538.99    
       812160.   0.10395E-01  0.53169       19038.       533.96    
       829440.   0.10492E-01  0.53169       19215.       529.04    
       846720.   0.10588E-01  0.53169       19391.       524.24    
       864000.   0.10683E-01  0.53169       19566.       519.55    
       881280.   0.10739E-01  0.53169       19667.       516.87    
       898560.   0.10795E-01  0.53169       19770.       514.20    
       915840.   0.10850E-01  0.53169       19871.       511.57    
       933120.   0.10905E-01  0.53169       19972.       508.98    
       950400.   0.10960E-01  0.53169       20073.       506.43    
       967680.   0.11067E-01  0.53169       20269.       501.53    
       984960.   0.11173E-01  0.53169       20463.       496.78    
      1002240.   0.11278E-01  0.53169       20655.       492.15    
      1019520.   0.11383E-01  0.53169       20847.       487.63    
      1036800.   0.11487E-01  0.53169       21037.       483.22    
      1054080.   0.11666E-01  0.53169       21365.       475.80    
      1071360.   0.11843E-01  0.53169       21689.       468.69    
      1088640.   0.12018E-01  0.53169       22010.       461.85    
      1105920.   0.12193E-01  0.53169       22331.       455.22    
      1123200.   0.12367E-01  0.53169       22649.       448.83    
      1140480.   0.12402E-01  0.53169       22713.       447.56    
      1157760.   0.12439E-01  0.53169       22781.       446.23    
      1175040.   0.12476E-01  0.53169       22848.       444.92    
      1192320.   0.12512E-01  0.53169       22915.       443.62    
      1209600.   0.12548E-01  0.53169       22981.       442.34    
      1226880.   0.12534E-01  0.53169       22955.       442.85    
      1244160.   0.12520E-01  0.53169       22930.       443.34    
      1261440.   0.12506E-01  0.53169       22904.       443.82    
      1278720.   0.12493E-01  0.53169       22880.       444.31    
      1296000.   0.12479E-01  0.53169       22855.       444.79    
      1313280.   0.12450E-01  0.53169       22801.       445.85    
      1330560.   0.12420E-01  0.53169       22747.       446.89    
      1347840.   0.12391E-01  0.53169       22694.       447.94    
      1365120.   0.12363E-01  0.53169       22641.       448.99    
      1382400.   0.12334E-01  0.53169       22588.       450.03    
      1399680.   0.12295E-01  0.53169       22517.       451.45    
      1416960.   0.12257E-01  0.53169       22447.       452.87    
      1434240.   0.12218E-01  0.53169       22377.       454.29    
      1451520.   0.12180E-01  0.53169       22307.       455.70    
      1468800.   0.12142E-01  0.53169       22238.       457.12    
      1486080.   0.12097E-01  0.53169       22155.       458.85    
      1503360.   0.12052E-01  0.53169       22072.       460.57    
      1520640.   0.12007E-01  0.53169       21989.       462.29    
      1537920.   0.11962E-01  0.53169       21907.       464.02    
      1555200.   0.11917E-01  0.53169       21826.       465.76    
      1572480.   0.11868E-01  0.53169       21735.       467.70    
      1589760.   0.11819E-01  0.53169       21645.       469.65    
      1607040.   0.11770E-01  0.53169       21556.       471.59    
      1624320.   0.11721E-01  0.53169       21467.       473.55    
      1641600.   0.11673E-01  0.53169       21378.       475.51    
      1658880.   0.11624E-01  0.53169       21288.       477.52    
      1676160.   0.11575E-01  0.53169       21199.       479.53    
      1693440.   0.11527E-01  0.53169       21110.       481.54    
      1710720.   0.11479E-01  0.53169       21022.       483.57    
      1728000.   0.11431E-01  0.53169       20934.       485.59    
      1745280.   0.11384E-01  0.53169       20849.       487.57    
      1762560.   0.11338E-01  0.53169       20765.       489.56    
      1779840.   0.11292E-01  0.53169       20681.       491.55    
      1797120.   0.11246E-01  0.53169       20597.       493.55    
      1814400.   0.11201E-01  0.53169       20514.       495.55    
      1831680.   0.11153E-01  0.53169       20426.       497.68    
      1848960.   0.11105E-01  0.53169       20339.       499.82    
