TOTIM (T)      HCON          HMAT      QDIR      QWELL        QMAT       QCADS      QTUB1      QTUB2      QTUB3      QTUB4      QTUB5      QTUB6       NSTOR        QFIX        QLH     FHLQ (LQ)        CAUCHY   CAUCHY (LQ)
    86400.   42.70415690   22.4285   0.000       0.000      0.2637E-03   0.000     0.2307E-01  0.000      0.000      0.000      0.000      0.000       0.000     -0.2334E-01   0.000       0.000       0.000       0.000    
   103680.   42.70415690   22.3499   0.000       0.000      0.2620E-03   0.000     0.2176E-01  0.000      0.000      0.000      0.000      0.000       0.000     -0.2202E-01   0.000       0.000       0.000       0.000    
   120960.   42.70415690   22.2730   0.000       0.000      0.2604E-03   0.000     0.2163E-01  0.000      0.000      0.000      0.000      0.000       0.000     -0.2189E-01   0.000       0.000       0.000       0.000    
   138240.   42.70415690   22.1976   0.000       0.000      0.2588E-03   0.000     0.2151E-01  0.000      0.000      0.000      0.000      0.000       0.000     -0.2177E-01   0.000       0.000       0.000       0.000    
   155520.   42.70415690   22.1237   0.000       0.000      0.2572E-03   0.000     0.2139E-01  0.000      0.000      0.000      0.000      0.000       0.000     -0.2165E-01   0.000       0.000       0.000       0.000    
   172800.   42.70415690   22.0510   0.000       0.000      0.2557E-03   0.000     0.2128E-01  0.000      0.000      0.000      0.000      0.000       0.000     -0.2153E-01   0.000       0.000       0.000       0.000    
   190080.   42.70415690   22.0056   0.000       0.000      0.2547E-03   0.000     0.2120E-01  0.000      0.000      0.000      0.000      0.000       0.000     -0.2146E-01   0.000       0.000       0.000       0.000    
   207360.   42.70415690   21.9608   0.000       0.000      0.2537E-03   0.000     0.2113E-01  0.000      0.000      0.000      0.000      0.000       0.000     -0.2138E-01   0.000       0.000       0.000       0.000    
   224640.   42.70415690   21.9165   0.000       0.000      0.2528E-03   0.000     0.2106E-01  0.000      0.000      0.000      0.000      0.000       0.000     -0.2131E-01   0.000       0.000       0.000       0.000    
   241920.   42.70415690   21.8726   0.000       0.000      0.2519E-03   0.000     0.2098E-01  0.000      0.000      0.000      0.000      0.000       0.000     -0.2124E-01   0.000       0.000       0.000       0.000    
   259200.   42.70415690   21.8291   0.000       0.000      0.2509E-03   0.000     0.2091E-01  0.000      0.000      0.000      0.000      0.000       0.000     -0.2116E-01   0.000       0.000       0.000       0.000    
   276480.   42.70415690   21.7931   0.000       0.000      0.2502E-03   0.000     0.2085E-01  0.000      0.000      0.000      0.000      0.000       0.000     -0.2110E-01   0.000       0.000       0.000       0.000    
   293760.   42.70415690   21.7573   0.000       0.000      0.2494E-03   0.000     0.2079E-01  0.000      0.000      0.000      0.000      0.000       0.000     -0.2104E-01   0.000       0.000       0.000       0.000    
